Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	doubleclicrate	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	keypressedrate	leftclicrate	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numdoubleclic	numevents	numfixations	numkeypressed	numleftclic	numrightclic	numsaccades	numsamples	numsegments	relpathanglesrate	rightclicrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	timetofirstdoubleclic	timetofirstkeypressed	timetofirstleftclic	timetofirstrightclic
EA-049_allsc	0.00377055766508	275	166.191780822	100	36.7047747175	12132	73	0.000285208612519	15057	3308.41330348	117	3126.83854241	0.0	-1	-1	0.432531442119	0.00275050497552	18.1101795171	2.34418037687e-05	0.0	267837	1565.06517488	175.0	-1	-1	-1	12.700317653	1.37672688452	-1	307.001420455	157.928274187	-1	-1	1.40649442586	167.485587181	42.6621315193	3.36047779176	-1	-1	-1	0.820767469477	0	6	704	6	0	0	441	32147	3	0.00383559915003	0.0	-1	-1	1.11007115576	-1	324.649413705	199.690763822	-1	-1	1.14098009123	178.624495164	20.0046959031	1.83080474193	965.085546051	216129	110707.720205	981.733109247	73861.143947	18814.0	-1	69439	-1	-1
Reading	0.00385032663177	192	155.0	133	26.9536639439	775	5	0.000106828476199	15057	8132.5	934	7396.25538139	0.0	-1	-1	0.771032154853	0.00386719083839	7.18882817243	4.27313904794e-05	0.0	47687	1565.06517488	175.0	-1	-1	-1	12.700317653	1.00117048707	-1	196.243093923	200.48549431	-1	-1	1.60762229262	181.306209112	45.3302752294	3.46695713551	-1	-1	-1	1.33744735558	0	2	181	2	0	0	109	5724	1	0.0061482862657	0.0	-1	-1	1.34815722193	-1	108.275351249	286.956267305	-1	-1	1.42287685527	230.546942584	22.5401103574	1.67350718452	180.210687673	35520	36087.3889757	287.76439038	19762.3767932	4941.0	-1	203169	-1	-1
CookieTheft	0.00496826153488	175	138.148148148	100	18.9527828355	3730	27	0.000225403848562	11657	4169.84615385	117	2847.50017654	0.0	-1	-1	0.563686660166	0.00321409191468	8.42450505565	1.6696581375e-05	0.0	123211	1052.43412148	125.0	-1	-1	-1	11.4395013205	1.54980002072	-1	257.527272727	175.83647549	-1	-1	1.40341867966	185.643175363	44.7490494297	3.60599270459	-1	-1	-1	0.820767469477	0	2	385	2	0	0	263	14788	1	0.00448728433703	0.0	-1	-1	1.00770411717	-1	242.907293078	166.380113204	-1	-1	1.03379262397	166.330799604	19.0585114786	1.9334073751	595.123207956	99148	67521.206588	537.509354311	48824.1551204	11769.0	-1	69439	-1	-1
Memory	0.00212335672555	275	186.024390244	125	34.1939232941	7627	41	0.000458797726154	7441	2152.825	250	1441.99434345	0.0	-1	-1	0.0794405425122	0.0015442460051	38.7172053232	2.23803768855e-05	0.0	96939	404.512132453	83.0	-1	-1	-1	6.69434924487	1.38504854322	-1	590.297101449	51.8184280369	-1	-1	1.15043650409	76.4436526582	30.4927536232	2.25646807375	-1	-1	-1	1.06839681057	0	2	138	2	0	0	69	11635	1	0.00175080977303	0.0	-1	-1	0.905129940351	-1	506.082368435	65.2996779934	-1	-1	0.952925662694	73.826785036	14.3009904926	1.16178868832	189.751650422	81461	7099.12464106	156.459364557	5274.61203342	2104.0	-1	272902	-1	-1
EA-063_allsc	0.00394542186303	259	155.04	108	40.9750737237	3876	25	0.000177421987552	35396	4422.46461538	159	8857.55709038	0.0	-1	-1	0.539073819773	0.00301617378839	7.95693825119	4.25812770125e-05	0.0	168789	1385.86192614	175.0	-1	-1	-1	11.3725911715	1.31738757927	-1	207.077647059	179.998281334	-1	-1	1.74158206654	211.610375737	47.1972477064	4.04115226357	-1	-1	-1	1.1288882333	0	6	425	6	0	0	218	20269	3	0.00517875539102	0.0	-1	-1	1.14791397326	-1	151.551647881	240.147357269	-1	-1	1.12432335983	192.944953448	27.0528172889	1.89004678458	555.937558454	88008	75959.2747228	729.722885882	46131.0619107	10289.0	-1	73005	-1	-1
Reading	0.00348301505864	225	166.625	109	38.7848921249	1333	8	0.000149156334483	8082	3896.0	1275	2362.71672727	0.0	-1	-1	0.723833035741	0.00357975202759	8.8371169126	3.72890836208e-05	0.0	54094	1130.50548631	158.0	-1	-1	-1	9.57591276133	0.978070746965	-1	162.197916667	203.26065378	-1	-1	1.82140251896	180.558092753	42.4578313253	3.86511218086	-1	-1	-1	1.267473763	0	2	192	2	0	0	83	6493	1	0.00645225092947	0.0	-1	-1	1.26088230646	-1	83.225627823	313.096692357	-1	-1	1.26786029713	169.055926914	24.7180694273	1.77064594789	186.81151267	31142	38822.784872	346.066478602	14986.3216985	3524.0	-1	145947	-1	-1
CookieTheft	0.0047354816679	175	136.333333333	117	33.486315613	409	3	4.9039640376e-05	35396	19023.0	2650	23154.9186567	0.0	-1	-1	0.483418878181	0.00295872496935	9.65344467641	3.2693093584e-05	0.0	61593	1385.86192614	175.0	-1	-1	-1	10.7900362436	1.6094060613	-1	255.46961326	164.295277071	-1	-1	1.70076547383	219.040303292	49.8958333333	3.99753927586	-1	-1	-1	1.1288882333	0	2	181	2	0	0	96	7393	1	0.00497649398964	0.0	-1	-1	0.94001330636	-1	191.251014273	159.436300091	-1	-1	0.976489719508	201.322738216	29.47094168	1.7688115482	289.693091034	46240	29573.1498727	304.437019816	21027.869116	4790.0	-1	73005	-1	-1
EA-069_allsc	0.00431990730551	291	167.52173913	100	59.2147650996	7706	46	0.000335548439335	19944	2422.29751951	8	4077.79046725	0.0	-1	-1	0.50867681821	0.00322418283013	14.6586265842	4.37671877394e-05	0.0	154242	1746.45428027	150.0	-1	-1	-1	14.6664900042	1.34900175992	-1	172.140271493	158.847372054	-1	-1	1.52449260823	169.823241815	38.3034482759	3.96460831382	-1	-1	-1	1.35457390455	0	6	442	6	0	0	145	18516	3	0.00484852013794	0.0	-1	-1	1.07357225345	-1	128.625432249	230.481518687	-1	-1	1.04152952621	190.070778805	25.1466046244	2.02924615368	592.211772605	76086	69733.9963316	664.67877719	24624.3700632	5554.0	-1	90725	-1	-1
Reading	0.00355421023171	291	171.518518519	100	62.6334700216	4631	27	0.000520984081042	19944	1925.76923077	8	3897.20428315	0.0	-1	-1	0.692249746728	0.00339604438013	10.7789342215	3.85914134105e-05	0.0	60959	1746.45428027	150.0	-1	-1	-1	11.6430285352	1.0525539729	-1	147.107954545	205.004817852	-1	-1	1.67846227172	225.401838342	45.320754717	4.39622775091	-1	-1	-1	1.60918975728	0	2	176	2	0	0	53	7318	1	0.00563535813372	0.0	-1	-1	1.17054320113	-1	71.5018860436	298.701474345	-1	-1	1.12001843081	257.684684683	29.7714199455	1.93371167683	184.196945258	25891	35875.8431242	292.05243528	11946.2974321	2402.0	-1	168105	-1	-1
CookieTheft	0.00496036875396	284	152.615384615	100	58.4458987177	1984	13	0.000270483958221	16499	2928.91666667	58	4852.65150498	0.0	-1	-1	0.55634084848	0.00326661395697	13.341745531	4.16129166493e-05	0.0	51442	631.392897658	100.0	-1	-1	-1	14.6664900042	1.52823873752	-1	161.630573248	171.402909357	-1	-1	1.48791142878	156.831438404	36.5769230769	4.04495727172	-1	-1	-1	1.35457390455	0	2	157	2	0	0	52	6175	1	0.00479851590574	0.0	-1	-1	0.97622508529	-1	110.586506725	191.414390122	-1	-1	0.99595664653	138.360416693	22.0163452238	2.37977888622	238.405243053	25376	26738.8538596	230.626271461	8155.234797	1902.0	-1	90725	-1	-1
Memory	0.00455915231154	225	181.833333333	108	45.2787661787	1091	6	0.000161281651524	9058	3559.0	483	3257.58085088	0.0	-1	-1	0.191368726085	0.00292995000269	19.8552	5.3760550508e-05	0.0	41841	562.654239065	100.0	-1	-1	-1	7.1629481929	1.57045911383	-1	227.697247706	65.9194384056	-1	-1	1.32710346213	113.070945852	31.25	3.28825891439	-1	-1	-1	1.50955728931	0	2	109	2	0	0	40	5023	1	0.00381700097974	0.0	-1	-1	0.93231384852	-1	193.160579167	82.7899484368	-1	-1	0.939711237614	109.982685294	19.9316138526	1.44284619941	169.609584294	24819	7119.29934781	142.000070448	4522.83783408	1250.0	-1	271287	-1	-1
EA-073_allsc	0.00353111701065	292	155.984615385	100	50.3411773265	10139	65	0.000490436488475	12761	1829.60214178	8	2895.35524745	0.0	-1	-1	0.421102334461	0.00291998340061	11.5958027114	4.52710604746e-05	0.0	159760	1638.14531178	141.0	-1	-1	-1	11.6180518566	1.21874112762	-1	259.749354005	145.340619525	-1	-1	1.5515530945	153.947243858	39.0555555556	3.6152287828	-1	-1	-1	1.23673548518	0	6	387	6	0	0	198	19182	3	0.00446026882713	0.0	-1	-1	1.21977853266	-1	150.716085964	222.10688896	-1	-1	1.17501718652	150.12218776	17.7221059709	1.54407396903	467.996593007	100523	55810.7978978	591.141729004	30481.5542838	7733.0	-1	71156	-1	-1
Reading	0.00359275562236	292	158.288461538	100	53.231767214	8231	52	0.000557533130334	11399	1493.03921569	8	2573.8586516	0.0	-1	-1	0.439889289701	0.00317365012652	15.0178534784	2.14435819359e-05	0.0	101899	1638.14531178	141.0	-1	-1	-1	11.6180518566	1.13589536063	-1	247.236486486	139.076590752	-1	-1	1.6583515477	141.277181288	37.1984732824	3.45607059715	-1	-1	-1	1.25892672065	0	2	296	2	0	0	131	12230	1	0.00522746660187	0.0	-1	-1	1.26554892904	-1	146.406949056	243.124615047	-1	-1	1.20429724988	153.887536598	17.514574084	1.46306156191	335.089131386	73182	41027.5942719	487.555355023	18507.3107488	4873.0	-1	103507	-1	-1
CookieTheft	0.00399463525316	192	162.5	133	41.71930009	325	2	0.000111656989728	3466	3466.0	3466	0.0	0.0	-1	-1	0.402614456004	0.0026239392586	12.2680161943	0.000111656989728	0.0	19020	1004.46918837	134.0	-1	-1	-1	10.3281905149	1.55547623162	-1	322.361702128	156.774568173	-1	-1	1.40975357516	175.403917068	41.1666666667	3.84047740848	-1	-1	-1	1.37920198967	0	2	47	2	0	0	30	2284	1	0.00354169891034	0.0	-1	-1	0.883166639223	-1	194.23399442	155.254543653	-1	-1	0.937582241828	182.728669358	22.7582244828	1.87165732666	71.5519066545	15151	7211.63013595	63.4389108821	5262.11751204	1235.0	-1	71156	-1	-1
EA-084_allsc	0.00422170943009	292	172.413793103	100	59.4525724791	5000	29	0.000223010020071	15548	3398.1700627	8	3847.54157021	0.0	-1	-1	0.648353338969	0.00329132029622	11.031488583	4.61400041526e-05	0.0	137104	1444.09100236	142.0	-1	-1	-1	13.2485413061	1.29173381783	-1	205.778037383	198.379340814	-1	-1	1.5433275357	194.783151555	46.8846153846	3.51465382211	-1	-1	-1	1.26847688381	0	6	428	6	0	0	182	16457	3	0.00500837610307	0.0	-1	-1	1.15213345749	-1	165.165121506	267.653464107	-1	-1	1.11516348173	223.886451563	26.754106095	1.92081161475	548.98687258	88073	84311.2198462	651.284220067	35450.5335829	8533.0	-1	79680	-1	-1
Reading	0.00388868966135	292	153.0	100	64.6782245216	1836	12	0.000220026036414	8632	1918.45454545	8	2576.76445814	0.0	-1	-1	0.771971983691	0.00368543610994	10.01041047	3.66710060691e-05	0.0	57411	1444.09100236	142.0	-1	-1	-1	13.2485413061	1.0604262272	-1	167.437810945	210.512900093	-1	-1	1.60844467774	197.189675216	45.4324324324	3.58591577448	-1	-1	-1	1.31384737261	0	2	201	2	0	0	74	6891	1	0.00586883681165	0.0	-1	-1	1.25829498147	-1	97.9548741165	327.713793648	-1	-1	1.25845579334	269.01360887	26.3272769019	2.08371508837	212.08524544	33655	42102.5800185	320.080490871	14592.035966	3362.0	-1	155485	-1	-1
CookieTheft	0.00464196134249	283	179.75	116	57.8228092774	2157	12	0.000198465202435	15548	4774.72727273	209	4373.66800503	0.0	-1	-1	0.589682652339	0.0030927494046	10.0464795214	3.30775337391e-05	0.0	62495	1028.47109591	125.0	-1	-1	-1	11.1790336512	1.50898683125	-1	233.486631016	191.691246726	-1	-1	1.52478429078	205.992521646	49.9540229885	3.58960600603	-1	-1	-1	1.26847688381	0	2	187	2	0	0	87	7501	1	0.00466533960364	0.0	-1	-1	1.00613964122	-1	206.13672147	205.78533374	-1	-1	0.985109718381	197.99203321	28.173840764	1.87516378156	280.671550613	43662	35654.571891	282.085093795	17921.3493832	4346.0	-1	79680	-1	-1
Memory	0.00373969649686	267	201.4	166	41.2468180591	1007	5	0.000332535248736	10249	3645.75	9	4520.07974672	0.0	-1	-1	0.435891722308	0.00266028198989	13.0375757576	0.000133014099495	0.0	17198	455.49735614	84.0	-1	-1	-1	5.89021834768	1.44179683402	-1	268.9	168.053024016	-1	-1	1.29259566847	139.864201609	39.2857142857	2.95302408516	-1	-1	-1	1.33607010508	0	2	40	2	0	0	21	2065	1	0.0032667355282	0.0	-1	-1	1.02736278447	-1	177.398118106	169.741526697	-1	-1	0.871763100883	131.109252259	20.6231492676	1.43110300903	56.2300765267	10756	6554.06793662	49.118635402	2937.14823378	825.0	-1	241384	-1	-1
EE-057_allsc	0.00429556920343	300	163.572815534	100	46.6651824572	16848	103	0.000587986801694	27714	1676.54951762	8	3231.75425597	0.0	-1	-1	0.525497122921	0.00325390754336	10.2316778277	3.42516583511e-05	0.0	195184	1451.45957436	175.0	-1	-1	-1	13.4690941198	1.32711118103	-1	188.719298246	162.351733705	-1	-1	1.44455444178	210.741758164	46.7154811715	3.92408487469	-1	-1	-1	1.26171731607	0	6	570	6	0	0	239	23431	3	0.0046509682097	0.0	-1	-1	1.17428401565	-1	144.72919435	221.867541411	-1	-1	1.11620152842	232.270767844	27.2062348205	2.22127899903	752.472039642	107570	92053.4330106	814.728705166	50367.2802012	11165.0	-1	112153	-1	-1
Reading	0.00410908020133	300	165.41025641	100	51.191959663	6451	39	0.000404249805649	27714	2432.57894737	8	4794.64704127	0.0	-1	-1	0.593597118053	0.00349313293599	8.97222648458	2.07307592641e-05	0.0	102570	1451.45957436	133.0	-1	-1	-1	13.4690941198	1.17983188221	-1	173.507418398	170.438339179	-1	-1	1.41495554888	205.284450625	45.2569444444	3.93297304121	-1	-1	-1	1.26171731607	0	2	337	2	0	0	144	12312	1	0.00491329472791	0.0	-1	-1	1.28331074894	-1	114.504733623	263.187162124	-1	-1	1.23251928548	251.172398442	23.5614793271	2.25198582922	396.423512423	58472	57267.2819642	474.010108875	29560.9608899	6517.0	-1	177925	-1	-1
CookieTheft	0.00490031482148	299	169.62962963	100	45.7956566198	4580	27	0.000573370142281	7650	1513.07692308	8	2016.99512985	0.0	-1	-1	0.426246979902	0.00318538967934	9.83183183183	4.24718623912e-05	0.0	50461	721.301393593	175.0	-1	-1	-1	12.3573329391	1.5486968117	-1	196.44	134.711209957	-1	-1	1.63198610785	193.025383371	45.4090909091	3.74089414081	-1	-1	-1	1.35689925384	0	2	150	2	0	0	66	6057	1	0.00512919821536	0.0	-1	-1	0.882961488488	-1	153.631585818	135.380035577	-1	-1	0.85540646853	178.171598696	29.9116531306	2.09338483705	230.755824944	29466	20071.9702836	241.533943961	12739.6753025	2997.0	-1	112153	-1	-1
