Part_id	Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numfixations	numsaccades	numsamples	numsegments	relpathanglesrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration
EA-049	EA-049_allsc	0.00061957474947	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0469969186306	0.000420858767711	0.194231154117	278003	7465.18815019	18698.0	-1	-1	-1	1.77851402074	1.52427999183	-1	221.333333333	115.621985576	-1	-1	1.24578567004	1118.53366026	1795.86315789	0.631684826081	-1	-1	-1	0.0153272947762	117	95	2334	4	0.000488450261451	-1	-1	1.17642134154	-1	368.302209118	101.774824938	-1	-1	1.04265641599	1272.33087849	2528.00677353	0.263568978549	172.243639077	25896	13065.2843701	135.790638034	106260.697725	170607.0
EA-049	Reading	0.000545211570364	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0855658454576	0.000379794910748	0.127986600325	47394	3382.49922654	3900.0	-1	-1	-1	1.77851402074	1.51998571564	-1	144.333333333	238.547510566	-1	-1	0.648315345519	1241.47140286	1449.92857143	0.842261724023	-1	-1	-1	0.202636472722	18	14	430	1	0.000218868327812	-1	-1	1.32649575372	-1	142.379773844	131.587292427	-1	-1	1.00619123483	1132.31230639	1302.97000758	0.334915327039	25.8397571658	2598	4055.30767962	10.3730455283	17380.5996401	20299.0
EA-049	Memory	0.000535761340086	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0251448620173	0.000351214271695	0.110362926897	96807	7465.18815019	11798.0	-1	-1	-1	1.01577129858	1.57168024393	-1	188.0	73.763595676	-1	-1	1.29788210607	1404.1787894	2227.61538462	0.604562704097	-1	-1	-1	0.172758061043	34	26	694	1	0.000429020911653	-1	-1	0.996550271994	-1	175.287815269	33.9318040558	-1	-1	0.921123311107	1624.78122903	2607.24759203	0.201100704123	51.8654480497	6392	2434.19865731	41.5322273944	36508.6485244	57918.0
EA-049	CookieTheft	0.000667728409793	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0506349212781	0.000455306762932	0.114143437378	122994	4541.29727152	6299.0	-1	-1	-1	1.04994932515	1.49321069153	-1	146.535714286	113.232572867	-1	-1	1.36205197624	1093.82478008	1529.61702128	0.639416710097	-1	-1	-1	0.222506456614	56	47	1109	1	0.000598003209236	-1	-1	1.22817574396	-1	87.2607303713	94.8408163722	-1	-1	1.05991891991	1133.17010554	1448.80896441	0.213824344903	82.126588034	8206	6227.79150768	73.5508067168	51409.764664	71892.0
EA-049	PupilCalib	0.00114839432154	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.032197124858	0.000832716506292	0.424431651868	10808	337.558962487	18698.0	-1	-1	-1	0.843897406218	1.55148072841	-1	966.666666667	43.4983156832	-1	-1	1.47636548496	120.210612082	2562.25	0.305897332538	-1	-1	-1	0.0153272947762	9	8	101	1	0.000956195262282	-1	-1	1.38787380346	-1	1030.78416752	23.5225492479	-1	-1	1.25693205081	120.563722709	6520.45357208	0.25796805281	12.4118458273	8700	347.986525465	10.3345583947	961.68489666	20498.0
EA-063	EA-063_allsc	0.000847733706499	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0643507454684	0.000642770949179	0.1753783137	164911	3418.4503774	18999.0	-1	-1	-1	0.911291161037	1.37059424777	-1	242.273584906	104.04064496	-1	-1	1.29162589586	508.499745441	1341.17204301	0.442185286323	-1	-1	-1	0.0139316358218	106	93	1045	4	0.000767561519815	-1	-1	1.23550086	-1	201.60685613	85.544933941	-1	-1	1.10940764242	622.663082264	2495.33143927	0.202113542567	139.800613272	25681	10612.1457859	126.579337794	47290.476326	124729.0
EA-063	Reading	0.000761205067269	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.079857361927	0.000615637184486	0.149878084245	53603	3418.4503774	5100.0	-1	-1	-1	0.911291161037	1.27508985065	-1	203.03030303	133.768567855	-1	-1	1.08715741798	781.238798561	1396.96875	0.519092550518	-1	-1	-1	0.142424376245	33	32	424	1	0.000628731226935	-1	-1	1.20350049102	-1	152.092176995	115.396378336	-1	-1	1.07301265856	847.960205637	1290.82747865	0.18606642023	40.8028752208	6700	4280.59417137	33.7018799574	24999.641554	44703.0
EA-063	Memory	0.000315632026369	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0242846990414	0.000289806071437	0.139453398739	41407	1624.16267844	3008.0	-1	-1	-1	0.854822462334	1.18812502871	-1	132.666666667	91.4142302916	-1	-1	0.812966731614	831.666629416	1427.0	0.510533649102	-1	-1	-1	0.31411314723	12	8	185	1	0.000196335578915	-1	-1	1.15483479439	-1	86.6480166413	53.8904662275	-1	-1	0.73348788939	660.646229669	1083.69051987	0.17885277524	13.0693753159	1592	1005.55653321	8.12966731614	6653.33303533	11416.0
EA-063	CookieTheft	0.0013139435912	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0840836493303	0.00093286635462	0.31222914273	61102	1572.76496071	13999.0	-1	-1	-1	0.85308168464	1.43365323767	-1	271.754385965	91.7442703817	-1	-1	1.48502617894	295.631049763	954.057692308	0.392578253516	-1	-1	-1	0.111479018455	57	52	416	1	0.00133672285427	-1	-1	1.27172871016	-1	199.847734958	67.5406107759	-1	-1	1.15853472139	303.32667188	1946.49223379	0.194181034512	80.2845813093	15490	5137.67914138	81.6764398415	15372.8145877	49611.0
EA-063	PupilCalib	0.000641411686156	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	0.0214019706757	0.000454597113308	0.0999526290857	8799	264.687148978	18999.0	-1	-1	-1	0.0139316358218	1.8812604755	-1	474.75	62.7719799919	-1	-1	1.53567533958	264.687148978	18999.0	0.0139316358218	-1	-1	-1	0.0139316358218	4	1	20	1	0.000349056788176	-1	-1	1.63112596538	-1	499.216302485	37.1351288115	-1	-1	1.32702993564	0	0	0	5.64378142649	1899	188.315939976	3.07135067916	264.687148978	18999.0
