	Unnamed: 0	starttime	endtime	duration	endx	endy
0	0	95114.0	95414.0	300.0	616.2695945275946	349.910798887306
1	1	103314.0	103514.0	200.0	540.008252142331	382.4325864805429
2	2	112613.0	112713.0	100.0	960.92736089431	424.8193943294799
3	3	116812.0	116912.0	100.0	1135.97030927003	442.6941435604318
4	4	122811.0	122911.0	100.0	1181.220959340655	470.79578614625353
5	5	137213.0	137513.0	300.0	765.8182981919473	360.6433287266032
6	6	158711.0	158811.0	100.0	508.901921672612	347.4923184238453
7	7	159011.0	159111.0	100.0	532.2491498705629	355.70254947948183
8	8	161011.0	161111.0	100.0	766.0247869117743	372.2063987457146
9	9	163510.0	163610.0	100.0	758.5044297105559	373.4193197624939
10	10	173609.0	173809.0	200.0	1160.9193788568	467.8741026210778
11	11	175909.0	176009.0	100.0	712.2484138631066	338.2873677464198
12	12	177809.0	177909.0	100.0	970.6198770373215	405.4522778118591
13	13	178209.0	178309.0	100.0	1002.841018972422	449.7763377321017
14	14	178809.0	178908.0	99.0	1031.0394473112617	438.57893327253134
15	15	179308.0	179409.0	101.0	1171.6699768281976	475.0995935106823
16	16	185308.0	185508.0	200.0	881.5624104687704	378.9239887052834
17	17	185808.0	186108.0	300.0	955.3483727361556	423.0849629202676
18	18	186308.0	186508.0	200.0	1010.5733579934896	401.01970288311634
19	19	258906.0	260714.0	1808.0	800.9341681346295	352.27328464312063
