	Unnamed: 0	starttime	endtime	duration	endx	endy
0	0	45723.0	46023.0	300.0	851.1675601225245	384.46062470943673
1	1	46223.0	47123.0	900.0	885.563103310126	393.8313098801606
2	2	47423.0	49423.0	2000.0	912.819095332414	402.0059231438439
3	3	50923.0	51123.0	200.0	904.6337685938056	403.7504687449893
4	4	53822.0	54422.0	600.0	941.7464545094692	432.2175404739238
5	5	55122.0	55322.0	200.0	903.8238570653645	412.01374503725145
6	6	82819.0	82919.0	100.0	892.5228327220891	436.7009304059723
7	7	130023.0	130223.0	200.0	829.2700121510363	367.2268857931184
8	8	131722.0	131922.0	200.0	837.2164466688475	377.0804626874761
9	9	133622.0	134022.0	400.0	979.5873099744742	375.5182324313264
10	10	134322.0	134422.0	100.0	1048.7098699789783	409.2335618196121
11	11	135022.0	135122.0	100.0	685.6374645268058	373.52168320382987
12	12	137022.0	137222.0	200.0	813.9761749341686	367.0592657978703
13	13	139022.0	139322.0	300.0	1211.8360007659417	421.2389745819525
14	14	139921.0	140021.0	100.0	644.6308774533309	347.0178094092305
15	15	140221.0	140621.0	400.0	683.0895979558865	370.8712308304145
16	16	140821.0	141021.0	200.0	763.8586507382961	360.5837111637621
17	17	144721.0	144921.0	200.0	674.3471496025178	362.43352070256594
18	18	145121.0	145421.0	300.0	673.2731329630337	351.6952973735575
19	19	153220.0	153420.0	200.0	1052.6220199906152	411.32010800551353
20	20	155420.0	155520.0	100.0	623.6673686066997	377.6197675017338
21	21	156620.0	156920.0	300.0	680.4310608603606	407.159014441683
22	22	157820.0	157920.0	100.0	544.9388440572969	390.7477664578117
23	23	158120.0	158220.0	100.0	674.0169936100233	390.6630968708507
24	24	161919.0	162019.0	100.0	587.1967474364546	381.5216090288544
25	25	162719.0	162819.0	100.0	661.9739111992477	400.4849616791156
26	26	163119.0	163319.0	200.0	643.9535739126211	430.9910231202902
27	27	167519.0	167719.0	200.0	660.8112680014932	382.1768389869636
28	28	172618.0	172718.0	100.0	642.8054304804052	409.4087134205944
29	29	183317.0	183417.0	100.0	591.3799256590102	392.8688328287713
30	30	231916.0	232016.0	100.0	784.640431114993	402.7321945657097
31	31	232516.0	232616.0	100.0	866.1027477657086	385.51725049946646
32	32	233316.0	233416.0	100.0	757.1935128545064	404.1477398102608
33	33	238216.0	238316.0	100.0	741.3708822681718	412.7183942941424
34	34	242420.0	242620.0	200.0	799.0292408430207	402.0069922675754
35	35	242920.0	243020.0	100.0	843.8826663837064	402.63415757299407
36	36	244420.0	244520.0	100.0	777.8556033074038	426.645200867456
37	37	246220.0	246320.0	100.0	839.8697133836268	437.6766320226457
38	38	252424.0	252524.0	100.0	780.0582352445883	397.1214393644036
39	39	259323.0	259423.0	100.0	751.612470420254	428.20611279829865
40	40	263223.0	263323.0	100.0	817.1776331125939	403.7680354286146
41	41	266422.0	266522.0	100.0	833.9019057324342	435.0510866159569
