	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y
0	63.9	64876.0	493.05062492206656	478.8600521407178	492.00241627236784	463.2588105598398	492.526520597217	471.05943135027866
1	64.1	65076.0	590.1813301636678	454.0572282420235	592.7592522383987	443.1654344792556	591.4702912010331	448.6113313606393
2	64.3	65276.0	559.4943821759391	437.00077588139465	561.7266768172943	425.1497746719012	560.6105294966164	431.0752752766477
3	66.2	67176.0	504.9016750276721	453.9962660105855	503.7348227124598	439.4001115642419	504.3182488700658	446.6981887874135
4	66.8	67776.0	488.5484811825207	467.8126843415483	486.699904410809	452.3818061386174	487.6241927966644	460.09724524008254
5	67.4	68376.0	495.8368982022645	469.4309656890769	494.42408163088527	454.49523334854666	495.13048991657473	461.9630995188117
6	68.3	69276.0	510.3673746284614	440.1250819127659	509.0418635563864	426.2070808673504	509.7046190924237	433.16608139005785
7	70.4	71375.0	533.5519686362474	464.0827948333274	533.6336745482753	450.602997572552	533.592821592261	457.3428962029395
8	71.1	72075.0	470.74606906357	455.39269047336967	469.9941181575315	439.9655251431725	470.3700936105503	447.6791078082709
9	71.9	72875.0	516.5645924321313	449.9418280057037	516.5870510532923	436.20693659752266	516.5758217427112	443.074382301613
10	72.1	73075.0	536.6921118661099	468.4261394745249	537.270300083289	455.2264945346953	536.9812059746995	461.82631700461
11	74.9	75875.0	561.1725378671779	432.3724100540752	561.9212543166939	420.6541808626524	561.5468960919353	426.5132954583638
12	105.0	105979.0	411.6657187678363	485.9494047613336	410.4476530852528	467.840596852301	411.0566859265445	476.8950008068171
13	105.4	106379.0	443.5872368368424	485.1386677637374	444.7560264198845	468.75160367648346	444.17163162836334	476.94513572011033
14	105.5	106479.0	479.3510672331749	497.2022902537505	480.606719413229	481.6514738794473	479.97889332320176	489.42688206659886
15	105.6	106579.0	444.67779416448457	483.8828713813515	445.8583296742647	467.48107313536696	445.2680619193743	475.6819722583591
16	105.7	106679.0	374.4952988810447	475.0078754284863	373.4556974187056	455.8725081517823	373.97549814987474	465.4401917901341
17	105.9	106879.0	380.4780520136355	485.46906509272594	378.3870706799751	465.9258351191537	379.432561346805	475.69745010593965
18	106.0	106979.0	363.0572566161118	482.7306515219958	360.440314894606	462.5583227776869	361.7487857553587	472.6444871498414
19	106.1	107079.0	378.680514040204	479.3963512587975	376.9017263276513	460.04422386082615	377.7911201839273	469.72028755981177
20	106.2	107179.0	381.6593612840505	479.681359753876	380.5929672946849	460.5853596306081	381.1261642893675	470.1333596922419
21	106.3	107279.0	389.7583995518696	455.6057096695397	389.613261301589	437.7068259307075	389.685830426729	446.6562678001235
22	106.4	107379.0	396.1485502740084	488.7671745056074	396.38274320355487	470.47370890066986	396.26564673878136	479.62044170313857
23	106.5	107479.0	506.0597807410071	445.3089267062044	509.4174104058915	431.9192542487119	507.73859557344906	438.61409047745815
24	106.7	107679.0	457.5666036492905	483.2130406153015	457.71530971274535	466.86524604040295	457.6409566810177	475.03914332785206
25	106.8	107779.0	483.5869932791216	473.9397314259264	484.20161565427065	458.6072650645717	483.894304466696	466.273498245249
26	107.0	107979.0	527.2219356592948	422.6136572973205	531.7103529112195	410.80743610196777	529.4661442852569	416.710546699644
27	107.2	108179.0	510.83186204288455	417.5553785248454	515.2071257243983	405.1951612682723	513.0194938836413	411.3752698965589
28	107.3	108279.0	376.9112885737785	456.303264512002	375.4788520244253	437.6192757074769	376.1950702991018	446.9612701097393
29	107.4	108379.0	404.0094244127011	441.9036409928121	402.69434865305885	424.20994041932335	403.3518865328796	433.0567907060676
30	107.5	108479.0	415.2168503188101	433.0387092695203	413.6399906871234	415.8476363827849	414.4284205029667	424.4431728261524
31	107.6	108579.0	433.9977820939587	460.70284794833714	433.5436725654584	443.62828690310016	433.7707273297085	452.1655674257184
32	107.7	108679.0	388.56857202413113	441.803129424103	386.8326770897066	423.4275202975006	387.7006245569186	432.6153248608017
33	107.8	108779.0	394.0656843415678	453.11528291194793	392.1364574528948	434.7249438950475	393.1010708972311	443.9201134034975
34	107.9	108879.0	382.1426292518237	431.102810705236	380.108571508391	412.6930753200117	381.1256003801073	421.8979430126239
35	108.0	108979.0	457.51020751484407	478.6198635990218	458.37780900182935	462.144275053436	457.94400825833645	470.3820693262289
