	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y
0	55.2	56045.0	886.0543444635156	468.06036242538505	898.9563785043495	468.7744646691252	892.5053614839321	468.4174135472549
1	55.5	56337.0	887.2946595159192	468.07978854084746	897.3035411033853	467.75252496255126	892.2991003096521	467.9161567516995
2	55.7	56545.0	907.515746128352	467.1441179370626	918.2877453864388	468.1569089872711	912.9017457573952	467.6505134621668
3	55.8	56637.0	904.344682069882	473.8377769354271	914.9046857168162	474.42814549733	909.6246838933488	474.1329612163783
4	55.9	56737.0	893.6997404633062	472.1125029571408	905.277575274021	472.7097177667658	899.4886578686637	472.4111103619532
5	56.0	56837.0	906.8824562327178	483.1401843015338	917.9972222944656	483.59623693518034	912.4398392635916	483.3682106183568
6	56.3	57137.0	884.6007154031587	486.5556331524677	894.6599017707443	485.8847446374342	889.6303085869514	486.2201888949508
7	56.4	57237.0	873.752312555417	482.76057513738937	884.6791105759601	482.20106297586295	879.2157115656886	482.48081905662593
8	56.5	57337.0	899.8113474303829	488.8992445672751	910.5418754494174	488.9733305233392	905.1766114399002	488.9362875453069
9	56.6	57445.0	974.7653879428896	510.7568508088692	987.2806147451385	512.8992965602724	981.0230013440143	511.8280736845707
10	56.8	57637.0	933.441318217351	505.509426596688	945.063752361579	506.4395887703985	939.2525352894644	505.9745076835432
11	56.9	57745.0	929.5801382654396	504.94940456876566	940.831688897769	505.65335166296046	935.205913581604	505.3013781158626
12	57.2	58045.0	910.2495835494312	488.445341845082	921.0152563855044	488.785528993065	915.6324199674676	488.61543541907326
13	57.4	58245.0	931.604777087302	497.8301238072116	941.6339273898112	498.2646347142994	936.6193522385568	498.0473792607552
14	57.5	58345.0	887.6358014318635	527.0426704209925	896.9836959872247	525.3547505479079	892.3097487095442	526.19871048445
15	57.6	58445.0	973.8192316584972	571.512631762203	984.6145597423554	571.794096094184	979.2168957004264	571.6533639281935
16	57.7	58545.0	881.0012426899957	455.8741144928738	890.4980994075413	455.7869085922926	885.7496710487682	455.8305115425831
17	57.8	58645.0	911.9597087343932	461.805068012012	922.3768312712898	462.6620322062128	917.1682700028416	462.23355010911234
18	58.0	58845.0	891.9209692873831	470.576907580316	901.5734040893636	470.3749447937028	896.7471866883736	470.4759261870093
19	58.2	59045.0	903.264986739957	469.7527145582288	913.0282777434918	469.9805790117223	908.146632241724	469.8666467849753
20	58.6	59445.0	933.5832469735968	484.6286212140245	945.4389510396666	486.14075605071207	939.511099006632	485.3846886323682
21	58.7	59545.0	934.58221897701	489.7626006058797	946.4144461982734	491.1590286742758	940.498332587642	490.4608146400776
22	58.9	59745.0	913.7932895876064	485.8172546514645	925.451885589709	486.7077469181033	919.6225875886578	486.2625007847837
23	59.0	59845.0	927.500866442828	497.56814529347633	938.7762911730324	498.4916158655368	933.13857880793	498.0298805795066
24	59.1	59945.0	932.8405171211052	492.29665835983417	944.7359594560112	493.6928436575072	938.788238288558	492.9947510086705
25	59.2	60045.0	924.9793420869198	493.5648852788922	936.8167161431284	494.6913517963726	930.898029115024	494.1281185376323
26	59.3	60145.0	928.1001677756708	492.3945514205955	938.9540788306626	493.3063896961772	933.5271233031664	492.8504705583863
27	59.4	60245.0	907.2093349086172	472.49311716116193	918.1029639444364	473.2561439638727	912.656149426527	472.8746305625171
28	59.5	60345.0	904.3472606566392	471.3767180320135	915.3439791040422	472.0985939130145	909.8456198803408	471.737655972514
29	59.7	60545.0	913.2527100273668	474.0012241050744	924.914336439126	475.1070129637285	919.0835232332468	474.5541185344014
30	59.8	60645.0	898.9773706825939	472.59481721220897	909.9530083520688	473.0553569521309	904.465189517331	472.8250870821697
31	59.9	60745.0	911.5713258105876	476.5459659409048	922.6235894334724	477.2537944820196	917.0974576220302	476.89988021146206
32	60.4	61244.0	949.3218766216352	485.35685405357646	961.6706560036292	487.3980300004449	955.496266312632	486.3774420270106
33	60.6	61444.0	930.5822442029216	489.2356912583169	941.841888887249	490.35095460807673	936.212066545085	489.7933229331968
34	60.9	61744.0	942.5177966942696	488.1109200508869	954.988336446314	490.0034665642527	948.753066570291	489.0571933075696
35	61.0	61844.0	933.506076717446	493.85416233114046	945.4458814935098	495.1738124316578	939.475979105478	494.51398738139886
36	61.1	61944.0	934.2854644409936	492.90001547800586	946.30470254776	494.2941658558722	940.2950834943766	493.597090666939
37	61.5	62344.0	941.4098043980784	502.8148286553102	952.701323950542	503.9349265104232	947.05556417431	503.3748775828663
38	61.6	62444.0	941.9283540891586	499.14658167977205	953.1990741679548	500.3669377589221	947.5637141285562	499.7567597193468
39	61.7	62544.0	946.0191598603628	500.991755399841	958.029023827245	502.52599607729	952.0240918438046	501.7588757385654
40	61.8	62644.0	935.2955542516872	500.0005010852548	947.1462914682918	501.16942271632047	941.2209228599896	500.5849619007876
41	61.9	62744.0	931.622191484301	495.791144388112	943.4538937271589	496.9665145557556	937.53804260573	496.3788294719336
42	62.0	62844.0	946.4355121541334	497.3171591895429	958.6114354687212	498.9587409578045	952.5234738114276	498.1379500736738
43	62.1	62944.0	926.8875377892678	494.9887975409405	938.5166742848056	496.02132162569904	932.7021060370366	495.5050595833197
44	62.2	63044.0	912.1102392462476	490.9802307600114	923.2344514626728	491.4076215763364	917.67234535446	491.1939261681736
45	62.4	63244.0	904.8357642942068	489.23300335246034	915.9502217166746	489.4968812754415	910.3929930054404	489.36494231395073
46	62.5	63344.0	897.4415123235495	490.7659879250618	908.2815535023068	490.6970176609418	902.8615329129276	490.7315027930017
47	62.6	63444.0	902.899061512652	492.2511483286414	914.1249686718834	492.4071049493562	908.5120150922678	492.3291266389986
48	62.7	63544.0	896.8957459124945	489.9891915353662	907.4827321682512	489.8286731175118	902.1892390403729	489.90893232643896
49	62.8	63644.0	908.5907532649928	495.4606497986204	919.3883333081272	495.51804331977627	913.98954328656	495.48934655919817
50	63.0	63844.0	914.6036270043325	494.40066821047645	926.0805130565096	494.9262783819322	920.3420700304206	494.6634732962042
51	63.1	63944.0	907.54711792507	492.69784587119153	918.8846150844216	493.0091339192327	913.2158665047458	492.853489895212
52	63.2	64044.0	901.9427075589168	489.9142052439031	913.1509900165488	490.118915142214	907.5468487877328	490.01656019305847
53	63.3	64144.0	914.1136492554972	491.7839061168701	925.4315516599288	492.31023863960473	919.7726004577128	492.04707237823726
54	63.4	64244.0	904.045573045036	485.5591546985924	915.9616447420266	486.1491546242154	910.0036088935312	485.85415466140375
55	63.5	64344.0	905.3205775554736	487.1732117258866	916.8100825375134	487.6414856369685	911.0653300464936	487.4073486814276
56	63.6	64444.0	881.5767815309572	485.6241791175728	892.3433081960503	485.1727864133377	886.9600448635035	485.3984827654552
57	63.7	64544.0	889.9518751759114	481.02705320237226	901.3438409181568	481.1237327829778	895.6478580470341	481.0753929926749
58	63.8	64644.0	896.8295292967825	489.9059522337508	908.1297767129726	490.0095941757426	902.479653004878	489.95777320474656
59	63.9	64744.0	932.0772869652992	489.0196100155067	944.2881698282248	490.5091346214706	938.1827283967616	489.7643723184886
60	64.0	64844.0	929.8172562283986	486.34335897033134	942.0138148984146	487.8411494225568	935.915535563406	487.092254196444
61	64.1	64944.0	945.9742386207064	487.4684864480727	958.623269628284	489.5418769524507	952.2987541244952	488.5051817002615
62	64.2	65044.0	920.2253682527931	486.9416868462948	932.5129455619164	488.1420003274991	926.3691569073547	487.54184358689696
63	64.3	65144.0	890.5218885221906	478.2121970290539	901.046245512366	478.02790520155065	895.7840670172778	478.120051115302
64	64.4	65244.0	888.9553992727234	487.9065131943442	900.039081072127	487.7431057220445	894.4972401724249	487.8248094581941
65	64.5	65344.0	935.0739880347784	498.35697359767926	946.5698245469616	499.4145812615281	940.82190629087	498.8857774296034
66	64.7	65544.0	932.9305588080616	487.601267477019	944.91169793215	489.0256515614924	938.9211283701062	488.3134595192555
67	64.8	65644.0	941.4458580363206	495.0153636297766	953.2846197231712	496.4892711836843	947.3652388797456	495.7523174067301
68	64.9	65744.0	942.4888716570204	490.9202500446757	954.3118817906844	492.4734208119866	948.4003767238528	491.69683542833104
69	89.8	90641.0	1026.3936382529816	555.0171369737076	1041.5952507005209	558.6990362502078	1033.9944444767511	556.8580866119577
70	89.9	90741.0	1099.559359967092	571.0567340369278	1115.6448795017468	576.9589277936062	1107.6021197344194	574.0078309152667
71	90.1	90941.0	989.048514907248	548.7044486226655	1003.33336942373	551.0460800948281	996.1909421654888	549.8752643587464
72	90.2	91041.0	1051.2127535423415	558.2815354550236	1067.10300496623	562.6480145185176	1059.1578792542855	560.4647749867705
73	90.3	91141.0	982.7671134136284	570.8756540194345	995.262651743416	571.8049937083598	989.0148825785228	571.3403238638969
74	90.4	91241.0	1049.6298713522465	571.4812062616281	1064.464374576916	575.1602477402698	1057.0471229645816	573.3207270009489
75	90.5	91341.0	1032.047303799488	534.940373638461	1047.4600031635894	539.1562931748434	1039.7536534815388	537.048333406652
76	90.6	91441.0	1036.3941854457712	519.8201781493393	1052.8620713260923	524.8742105261152	1044.6281283859314	522.3471943377269
77	90.7	91541.0	1004.5186819477844	532.7220988402872	1019.3828148888954	536.0807744684364	1011.95074841834	534.4014366543616
78	90.8	91641.0	977.4818234181648	540.500025008903	991.3562536765604	542.5988231276381	984.4190385473626	541.5494240682702
79	90.9	91741.0	963.097138745142	506.2407174880466	978.13552942617	509.0325294322904	970.6163340856556	507.6366234601683
80	91.0	91841.0	929.0951922050276	491.872066365413	945.4893218763036	494.1086482127506	937.2922570406656	492.99035728908166
81	91.1	91941.0	968.435560690135	489.5286888694188	984.1515444941064	492.8566905523144	976.2935525921204	491.1926897108665
82	91.2	92041.0	989.1570471653516	480.71731804595714	1004.86145585026	485.0275161772437	997.0092515078056	482.8724171116002
83	91.3	92141.0	982.3029320110152	507.5504419683686	997.0749752572788	510.8140966068222	989.6889536341464	509.18226928759503
84	91.4	92241.0	1031.497759600494	531.3564651725658	1046.5181535301278	535.7049160601749	1039.0079565653111	533.53069061637
85	91.6	92441.0	872.5491981815603	485.9494305064734	883.0971538297651	484.8214881582935	877.8231760056627	485.3854593323833
86	91.7	92541.0	936.087247862542	514.8360001214008	950.0600475455664	516.1302886129596	943.0736477040545	515.4831443671801
87	92.1	92941.0	1023.5220552726164	611.0400634600745	1039.888023710914	613.8647924133661	1031.705039491765	612.4524279367201
88	92.2	93041.0	960.3893584929306	495.06592968763727	974.613270531036	497.6363204339055	967.5013145119837	496.3511250607712
89	92.3	93141.0	984.2331826881644	453.38903504944176	999.3314937596168	457.83073535205153	991.7823382238907	455.6098852007464
90	92.4	93241.0	1031.8835275240283	517.4030889632604	1047.9404381426857	521.9882822327492	1039.9119828333564	519.6956855980046
91	92.6	93441.0	1065.4475397094682	501.7557897011463	1082.0464495048311	508.1117844505232	1073.74699460715	504.9337870758346
