	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y
0	43.7	44435.0	621.394012619571	426.92833597496144	619.5885606728452	416.80765613031167	620.4912866462076	421.8679960526365
1	43.8	44535.0	608.1336228851846	436.7400211882007	605.3184175408992	425.6905357284129	606.7260202130416	431.21527845830656
2	43.9	44635.0	643.6642282687469	421.1979988362653	642.8537640964549	412.0520314845131	643.2589961826004	416.625015160389
3	44.0	44735.0	658.8788037769772	415.4376470757504	658.8333567218106	407.010398188241	658.8560802493938	411.2240226319957
4	44.1	44835.0	663.3581588866963	415.4336137442217	663.5341662722257	407.166053954554	663.4461625794606	411.29983384938765
5	44.6	45335.0	575.0963622529184	440.84507299087136	571.7888466513522	428.4160412222228	573.4426044521352	434.6305571065469
6	44.7	45435.0	591.4506726230601	438.1816011374332	588.9712508238662	426.6016189893931	590.2109617234627	432.3916100634131
7	44.8	45535.0	617.4475184958025	446.9561346552325	615.2688650946668	436.117719025607	616.3581917952345	441.5369268404194
8	44.9	45635.0	613.6902376490799	447.45468190566265	611.4308067812034	436.5037591850643	612.5605222151414	441.97922054536326
9	45.0	45735.0	651.7625911508887	438.98412984964415	650.8563794031469	429.4704369669699	651.3094852770175	434.2272834083069
10	45.1	45835.0	655.0232608630027	435.21079050839137	654.3745599919198	425.955833373986	654.6989104274612	430.5833119411885
11	45.6	46335.0	637.1079627218533	443.3041127702513	635.6837390461974	433.1450830569931	636.3958508840252	438.2245979136222
12	45.7	46435.0	639.2103152849851	426.802769295577	638.2975595019622	417.1408392272237	638.7539373934738	421.97180426140017
13	45.9	46635.0	619.5688542103335	425.951742314843	617.6751722297132	415.2926999166435	618.6220132200232	420.6222211157432
14	46.0	46735.0	621.4077555824864	428.017052707203	619.5953590254042	417.36746637824086	620.5015573039451	422.6922595427218
15	46.1	46835.0	620.7095542904797	427.3855878416454	618.7146682618638	416.6964145272244	619.7121112761718	422.0410011844348
16	46.2	46935.0	619.770523651448	430.3065651435738	617.807932278234	419.5057802030115	618.7892279648403	424.9061726732925
17	46.3	47035.0	622.1915590969195	425.16959633339457	620.3309692339799	414.613799020334	621.2612641654496	419.89169767686434
18	46.6	47335.0	675.2149444062853	423.6264385663802	675.9739752001635	415.6758452672984	675.5944598032243	419.65114191683926
19	46.8	47535.0	684.807253029093	421.34301179855095	686.6336733890994	413.97668281468646	685.7204632090964	417.6598473066188
20	46.9	47634.0	685.8371397973076	422.2300330694589	687.577044241187	414.81264334651655	686.7070920192472	418.5213382079876
21	47.0	47734.0	684.6305108104374	420.8085515218511	686.3625151364889	413.400331735581	685.4965129734632	417.1044416287161
22	47.1	47834.0	678.9406556819268	423.3412263236775	680.2949020843938	415.59104432780657	679.6177788831607	419.466135325742
23	47.2	47934.0	686.2895339178252	426.100559508997	687.4724453501995	418.4759141160368	686.880989634012	422.28823681251686
24	47.3	48034.0	674.6937321144895	426.85615119534026	675.1630639865476	418.6033492596923	674.9283980505185	422.7297502275163
25	47.4	48134.0	676.32084714044	422.8253294334599	677.0337358279078	414.7910139598124	676.677291484174	418.8081716966361
