	Unnamed: 0	starttime	endtime	duration	endx	endy
0	0	41891.0	42391.0	500.0	886.9254481334882	422.04139164393206
1	1	43591.0	43891.0	300.0	873.5567605059923	412.4872365169917
2	2	46499.0	46699.0	200.0	879.1284989442673	420.5509540982275
3	3	47299.0	48599.0	1300.0	878.2474834303471	366.5603849140506
4	4	48799.0	48998.0	199.0	830.4299217734625	375.0738028001334
5	5	49798.0	50598.0	800.0	869.0841683453905	430.11149999364784
6	6	50898.0	51498.0	600.0	902.0774527567102	426.23548360141234
7	7	51698.0	52998.0	1300.0	944.597797914348	396.07704628155335
8	8	75096.0	75196.0	100.0	620.0407623869754	329.64335600179425
9	9	76396.0	76496.0	100.0	770.5479975531531	415.5243516579535
10	10	80895.0	80995.0	100.0	633.2913285491669	389.7714730085822
11	11	91894.0	91994.0	100.0	1010.41303704862	478.7553192062093
12	12	96194.0	96294.0	100.0	886.9939105195045	504.1394086840123
13	13	99093.0	99493.0	400.0	970.3939174337104	508.4421270911629
14	14	111191.0	111599.0	408.0	680.9871231216493	431.8143367720812
15	15	124398.0	124498.0	100.0	1043.9545694177968	509.58557653231946
16	16	129697.0	129797.0	100.0	806.9120431002914	405.8208813810494
17	17	150791.0	150891.0	100.0	676.1512113434651	389.4074764471994
18	18	153191.0	153291.0	100.0	1065.9601200378493	440.5902235005892
19	19	158799.0	158899.0	100.0	452.228168291542	399.7550452696584
20	20	161198.0	161298.0	100.0	912.98408575369	423.150574629871
21	21	186695.0	186795.0	100.0	1097.5636369909937	541.2759336041086
22	22	223593.0	223693.0	100.0	867.8473054578395	442.81915751661234
