	Unnamed: 0	starttime	endtime	duration	endx	endy
0	0	44706.0	45405.0	699.0	955.4559374214464	541.086084723564
1	1	54305.0	54705.0	400.0	913.2271129658938	567.3815922395293
2	2	73802.0	73902.0	100.0	852.9433484040729	600.9387478899475
3	3	75302.0	75502.0	200.0	610.9663170642496	560.98618489842
4	4	75902.0	76102.0	200.0	1018.1690071348008	551.9202945726709
5	5	78502.0	78702.0	200.0	822.5296239506932	508.3043434907094
6	6	79202.0	79402.0	200.0	794.1991143276824	574.9354165741682
7	7	79702.0	80402.0	700.0	852.3771927329009	565.0876537534255
8	8	82001.0	82102.0	101.0	716.5546194013835	513.6235882747031
9	9	82301.0	82401.0	100.0	749.3742215692047	512.0170760318541
10	10	83401.0	83501.0	100.0	709.9120742626947	550.654666779358
11	11	87901.0	88401.0	500.0	1060.5716552460162	600.5714199827014
12	12	91901.0	92100.0	199.0	1066.8680761962662	606.2647937070733
13	13	101899.0	101999.0	100.0	1063.5520688678898	616.1320634414819
14	14	102199.0	102299.0	100.0	1109.4537408595972	570.5839967109533
15	15	105899.0	106199.0	300.0	1068.1776215250925	630.8562891848632
16	16	106999.0	107099.0	100.0	999.325649016752	603.1792143290343
17	17	108899.0	109199.0	300.0	1000.8346091340396	594.7181582797216
18	18	109399.0	109599.0	200.0	970.9316874025866	605.668483651648
19	19	117298.0	117506.0	208.0	985.3868665450078	600.0289435659217
20	20	118206.0	118598.0	392.0	1135.807603624312	614.5999881188372
21	21	120606.0	120806.0	200.0	987.2272886632704	618.9006129387574
22	22	125405.0	125505.0	100.0	810.6786164112063	637.1875321588018
23	23	126205.0	126305.0	100.0	838.4234270756325	624.8005755185603
24	24	127205.0	127405.0	200.0	881.2862637699978	567.452344302287
25	25	130005.0	130305.0	300.0	975.6751199833442	662.9395050947243
26	26	139204.0	139304.0	100.0	756.8959365280808	693.7570670428445
27	27	139904.0	140104.0	200.0	683.7624507795199	604.407731333766
28	28	140404.0	140504.0	100.0	754.4876809416622	601.7351924859163
29	29	142703.0	142903.0	200.0	784.2251011344521	617.2646416061013
30	30	145103.0	145203.0	100.0	720.9489903779624	639.4028659987955
31	31	157402.0	157502.0	100.0	644.8482197117868	619.7919385966744
32	32	157702.0	157802.0	100.0	620.1745694785856	543.3054472570088
33	33	159002.0	159402.0	400.0	1014.9526581985176	589.7061843949048
34	34	160001.0	160101.0	100.0	950.2425094259864	576.2574254273691
35	35	162301.0	162401.0	100.0	662.1131106984903	586.7894131384537
36	36	163001.0	163101.0	100.0	824.596974617123	542.6950366850497
37	37	163801.0	163901.0	100.0	742.1277303736434	547.4080763578345
38	38	166901.0	167001.0	100.0	884.6265916045909	572.2494865877401
39	39	168900.0	169000.0	100.0	1000.5853659530924	637.3145101231584
40	40	169800.0	169900.0	100.0	519.817592635356	541.6296147378137
41	41	171300.0	171400.0	100.0	848.5664313595736	551.3183672723701
42	42	174100.0	174200.0	100.0	616.6371348159701	597.4134815224517
43	43	178400.0	178499.0	99.0	653.6448930011353	626.2819853534418
44	44	178899.0	179099.0	200.0	700.2486525760645	653.1520440243966
45	45	190798.0	190998.0	200.0	675.293460470516	617.5404476047321
46	46	202505.0	202605.0	100.0	859.6325364116673	623.5018005894841
47	47	220103.0	220203.0	100.0	826.932079458317	554.8426033182826
48	48	225803.0	226003.0	200.0	833.6327705979259	557.3828341798769
49	49	236102.0	236302.0	200.0	856.4946859419042	639.5382777567057
50	50	239801.0	240001.0	200.0	883.254660240638	637.3681054313264
51	51	243301.0	243401.0	100.0	766.3818525199081	622.8923809264465
52	52	257100.0	257200.0	100.0	929.4321205400306	664.8560817099542
53	53	259999.0	260199.0	200.0	859.6730116409967	617.8235598020111
54	54	268099.0	268199.0	100.0	852.4606175432658	670.4559575612761
55	55	273106.0	273406.0	300.0	837.1899358038822	536.0262297925336
56	56	275498.0	276606.0	1108.0	915.5462102404432	606.4717284579148
57	57	284705.0	284805.0	100.0	831.5293376850925	648.396721099979
58	58	291005.0	291205.0	200.0	822.0253144688999	563.1229315672867
59	59	293504.0	294004.0	500.0	813.4361359631969	539.0431016536799
60	60	303503.0	303903.0	400.0	799.9985013665262	567.7413747164726
61	61	305403.0	305803.0	400.0	799.7332650568885	546.3941168018878
62	62	306903.0	307103.0	200.0	854.446171582194	545.3017111923411
63	63	311802.0	311902.0	100.0	782.0788843664601	697.1503415655266
64	64	315802.0	316002.0	200.0	866.7364758052914	583.5513332216184
65	65	320402.0	320602.0	200.0	809.9832787609568	550.3835825709205
66	66	323701.0	323801.0	100.0	853.0505927927671	580.404387543782
67	67	326501.0	326701.0	200.0	896.0706483687569	571.313985541751
