	Unnamed: 0	starttime	endtime	duration	endx	endy
0	0	70191.0	70391.0	200.0	452.7103521939314	381.657636984393
1	1	71491.0	71591.0	100.0	403.9453741389991	465.8044869434559
2	2	71991.0	72191.0	200.0	422.029111940962	453.57161867401794
3	3	73091.0	73191.0	100.0	504.4398566699277	432.94427089270425
4	4	74591.0	75191.0	600.0	444.4327278967981	442.49740800780097
5	5	75391.0	75791.0	400.0	345.4850001227224	411.0103197743945
6	6	75991.0	76490.0	499.0	370.9991057856812	397.498975325535
7	7	76891.0	77190.0	299.0	466.6374974039665	443.7387690215053
8	8	77490.0	77690.0	200.0	486.5283907889223	427.0324505154333
9	9	77990.0	78090.0	100.0	456.32949674213233	432.62919191230446
10	10	78390.0	79090.0	700.0	438.3257475870536	409.4367155267721
11	11	79290.0	79690.0	400.0	396.7736520390365	427.9841550573376
12	12	79890.0	81090.0	1200.0	387.2498516580909	455.0504808976893
13	13	107387.0	107487.0	100.0	611.9563549317365	365.45498864315726
14	14	113987.0	114087.0	100.0	438.67604501876593	432.9072158352452
15	15	114687.0	114887.0	200.0	360.9834476156173	389.09359887393344
16	16	115486.0	115686.0	200.0	352.2614762082069	393.1143670623566
17	17	116486.0	116586.0	100.0	433.2878130280358	435.2731408899672
18	18	117986.0	118086.0	100.0	301.00393339878474	407.7353739969655
19	19	118586.0	118694.0	108.0	316.63619344394044	370.5973663979928
20	20	119186.0	119286.0	100.0	348.58473367219614	377.4359310183068
21	21	119586.0	119886.0	300.0	363.20161787748896	408.716308520596
22	22	121494.0	121586.0	92.0	601.1775244797075	481.6479898810056
23	23	121886.0	121994.0	108.0	415.95593326412086	375.0598554419337
24	24	124994.0	125094.0	100.0	290.37306522351065	394.84239945120265
25	25	126593.0	126693.0	100.0	557.5864798828626	462.2313433540284
26	26	128793.0	128893.0	100.0	444.4024212272109	408.3524623965518
27	27	129093.0	129293.0	200.0	502.0710248304932	422.7992521061075
28	28	134589.0	134789.0	200.0	310.46855638021884	481.4409228486263
29	29	136289.0	136589.0	300.0	422.3917640718649	459.1914154900892
30	30	140888.0	140988.0	100.0	540.5028429099744	469.4512880118077
31	31	141688.0	141988.0	300.0	531.1719878280444	468.9958667790969
32	32	159386.0	159486.0	100.0	410.9434261861794	331.88575507269314
33	33	163194.0	163386.0	192.0	808.5571526647668	372.6652091532965
34	34	165294.0	165394.0	100.0	358.95368452443165	354.20856742992044
35	35	166294.0	166394.0	100.0	503.23545795815465	349.12978784571135
36	36	167294.0	167594.0	300.0	679.6422774604043	337.77957185024684
37	37	170293.0	170393.0	100.0	632.5457730977811	342.7290478017774
38	38	173693.0	173793.0	100.0	438.3018775084995	362.5396802465515
39	39	174693.0	174793.0	100.0	582.3232497562641	336.8442169610855
40	40	177392.0	177492.0	100.0	424.38524463940746	389.063108589775
41	41	178192.0	178392.0	200.0	400.56392790264175	364.0750765453252
42	42	179492.0	179592.0	100.0	676.0670160322366	392.8713237614338
43	43	181692.0	181792.0	100.0	236.72090336388692	418.6038169104878
44	44	184792.0	184892.0	100.0	550.7216799320436	392.2508401477169
45	45	186591.0	186691.0	100.0	395.7097748667993	425.5105196365156
46	46	190891.0	190991.0	100.0	340.17387715812896	427.8462926323043
47	47	247389.0	247489.0	100.0	209.06512350848803	496.4086997750776
48	48	253888.0	253988.0	100.0	521.3835131147873	367.62197944391335
49	49	254788.0	254888.0	100.0	507.8627928811459	336.01467203559406
50	50	255388.0	255488.0	100.0	486.689298693363	353.5318558733791
