	Unnamed: 0	starttime	endtime	duration	endx	endy
0	0	51220.0	51420.0	200.0	651.013681240386	429.56541134332895
1	1	51620.0	52019.0	399.0	742.7536589804783	421.7701781939648
2	2	52219.0	52419.0	200.0	774.7932551447363	425.2085986322066
3	3	52619.0	52819.0	200.0	821.2536220122936	442.55312151747785
4	4	55019.0	55319.0	300.0	765.8384434355821	453.4877563768506
5	5	55819.0	55919.0	100.0	716.8330693782735	472.0913477513093
6	6	56119.0	57219.0	1100.0	750.3443157371038	441.30443432914245
7	7	57619.0	58219.0	600.0	810.7125227990251	457.8851392000941
8	8	58819.0	59919.0	1100.0	764.9750035335591	454.1346510321662
9	9	60219.0	60419.0	200.0	770.8148073477922	452.6371243016114
10	10	60619.0	61019.0	400.0	799.7163920601109	475.1884968639264
11	11	61718.0	61918.0	200.0	787.4321819958991	457.6746073768369
12	12	80116.0	80216.0	100.0	633.8616057905974	420.7553014876818
13	13	81616.0	81716.0	100.0	875.437104951725	412.4604726513902
14	14	82416.0	82516.0	100.0	857.3207202062424	420.02568941678254
15	15	83716.0	84016.0	300.0	905.7493515682232	418.1196893990759
16	16	90715.0	90815.0	100.0	684.6956859078599	440.73263296936193
17	17	92715.0	93015.0	300.0	733.159913407719	440.81526575962897
18	18	95215.0	95315.0	100.0	768.5982889131888	407.5520168718605
19	19	95515.0	95615.0	100.0	721.0629989820319	415.8149369158636
20	20	96615.0	96815.0	200.0	739.2283824205591	410.17176487195246
21	21	97015.0	97115.0	100.0	704.1972011356161	387.9737814756594
22	22	100014.0	100114.0	100.0	713.1922967508654	417.75776004774144
23	23	109813.0	109913.0	100.0	1095.816460372046	423.60856685003097
24	24	111921.0	112421.0	500.0	1057.776170650477	397.0429275497288
25	25	113221.0	113721.0	500.0	1095.59080136408	421.51448448660017
26	26	116721.0	116813.0	92.0	998.0777505867512	401.6207175052316
27	27	117013.0	117113.0	100.0	1068.6923563828746	386.4494982135899
28	28	119421.0	119521.0	100.0	1149.2157205871088	438.8945884782392
29	29	119721.0	119821.0	100.0	1067.2058569789235	402.354611153109
30	30	121120.0	121320.0	200.0	1063.0745569729995	395.7912279461059
31	31	121920.0	122020.0	100.0	1091.728433804401	395.1702340877384
32	32	123020.0	123220.0	200.0	1061.8626508128557	435.423678895468
33	33	123620.0	124020.0	400.0	1069.0999277749177	419.8483902581125
34	34	124620.0	124720.0	100.0	1015.3939930177396	392.9166800495108
35	35	124920.0	125020.0	100.0	1019.2236280830508	399.0036379919051
36	36	125520.0	125620.0	100.0	1001.402816068468	400.8401346363008
37	37	141618.0	141718.0	100.0	907.3610750846174	394.00169611164887
38	38	144318.0	144418.0	100.0	724.6225474672977	459.7521125577623
39	39	147618.0	147818.0	200.0	605.3700941427302	396.422547204556
40	40	150717.0	150817.0	100.0	623.5369933731437	411.80743410866455
41	41	156017.0	156117.0	100.0	681.2776830269427	393.7291993771086
42	42	156417.0	156517.0	100.0	803.5470223926764	450.7143955337924
43	43	185214.0	185314.0	100.0	950.3473372914556	455.9832374051012
