	Unnamed: 0	starttime	endtime	duration	endx	endy
0	0	51488.0	51788.0	300.0	720.073121804362	437.8504418476007
1	1	52988.0	53196.0	208.0	709.8265786254486	439.95096504862056
2	2	54788.0	55096.0	308.0	795.4287724947803	446.7227981452439
3	3	55388.0	55488.0	100.0	864.6788964474782	463.3259755100795
4	4	55688.0	56188.0	500.0	813.79055796642	451.7344159549728
5	5	56388.0	56488.0	100.0	782.8787511961048	461.5220363699909
6	6	56788.0	57088.0	300.0	847.3772800539032	454.5557567545439
7	7	57588.0	58088.0	500.0	764.5828062384941	438.2192598612125
8	8	58488.0	58696.0	208.0	732.9217715930789	449.3608868960906
9	9	58888.0	58988.0	100.0	740.8727574906056	427.3899932968717
10	10	59988.0	60096.0	108.0	725.4506864831369	398.3118767540436
11	11	61788.0	61888.0	100.0	793.8823379145429	423.1841786383679
12	12	62696.0	63096.0	400.0	733.5857586764876	424.15081132833126
13	13	85696.0	85795.0	99.0	746.325309673618	399.6462004624319
14	14	86395.0	86496.0	101.0	823.247134476823	414.948282939648
15	15	88195.0	88395.0	200.0	677.4919068580056	390.8840220677765
16	16	89595.0	89695.0	100.0	715.4567855633213	372.6541519126536
17	17	91695.0	92095.0	400.0	935.0747843473016	413.5586298604897
18	18	92795.0	92895.0	100.0	936.0687791792632	399.4947148629713
19	19	94295.0	94395.0	100.0	919.8086229246176	420.2910116593436
20	20	95395.0	95495.0	100.0	733.3734340287209	397.8308024566392
21	21	96994.0	97094.0	100.0	1033.9430878830883	422.9733762404667
22	22	100494.0	100594.0	100.0	861.8997561079403	407.11308496070416
23	23	102094.0	102194.0	100.0	783.5178592464604	465.9584164720241
24	24	105893.0	105993.0	100.0	932.2538905218432	446.2124489449693
25	25	107793.0	107993.0	200.0	1030.4437270465005	472.1214213756346
26	26	116989.0	117089.0	100.0	890.7638917742327	395.5313570104447
27	27	118189.0	118389.0	200.0	839.8660052038581	360.74382688123353
28	28	120896.0	120988.0	92.0	721.8218687000422	360.6859513878077
29	29	136191.0	136291.0	100.0	647.5955936634294	379.91662747898096
30	30	137891.0	137991.0	100.0	734.3081487372805	362.6618709580162
31	31	139591.0	139791.0	200.0	906.7862305188004	474.8065700833282
32	32	140491.0	140591.0	100.0	725.1879388819544	395.9052417732862
33	33	141191.0	141391.0	200.0	816.157235956887	433.8789719188725
34	34	141991.0	142090.0	99.0	772.3900071152867	422.31977198529165
35	35	145690.0	145890.0	200.0	697.1203686626079	377.5834814670125
36	36	149690.0	149990.0	300.0	761.0691752742555	390.64395042025694
37	37	151089.0	151489.0	400.0	734.3842595932285	372.0769813975309
38	38	154189.0	154289.0	100.0	656.1785956161274	366.7771525002655
39	39	155089.0	155289.0	200.0	630.4886702725953	407.8988216557233
40	40	156189.0	156289.0	100.0	662.0510119245248	417.3108471319413
41	41	156689.0	156789.0	100.0	727.3274855526528	363.3284918213871
42	42	158389.0	158489.0	100.0	805.3833788580397	375.63097480194847
43	43	159889.0	159989.0	100.0	863.3795627946595	425.2161382392149
44	44	195596.0	195796.0	200.0	596.2612427019476	428.2061169868583
45	45	196496.0	196596.0	100.0	782.6723587269739	427.8606310555986
46	46	198296.0	198395.0	99.0	544.0254324092376	413.8608506845251
47	47	203595.0	203695.0	100.0	804.20046599669	413.6596725836028
48	48	206995.0	207095.0	100.0	827.6730351179046	409.60623190965
49	49	208394.0	208494.0	100.0	581.017121445265	432.25610111146494
50	50	210794.0	210894.0	100.0	1033.4871869851868	449.0373321428572
51	51	213294.0	213394.0	100.0	897.1485460538881	452.2585542546338
52	52	216893.0	216993.0	100.0	487.3775600893507	422.64527374381424
53	53	218393.0	218493.0	100.0	919.761050824989	427.5917971514896
54	54	221593.0	221693.0	100.0	913.0905817319098	415.72023219522254
55	55	221993.0	222093.0	100.0	987.026609673538	455.4908712141187
56	56	225693.0	225793.0	100.0	966.6082948008876	451.6922102509796
57	57	227492.0	227692.0	200.0	493.0372157671952	475.197032554453
58	58	272390.0	272489.0	99.0	840.1512136256887	391.0394314920734
59	59	283390.0	283590.0	200.0	750.3713060482681	424.8453616476396
60	60	285589.0	285689.0	100.0	647.1522822791902	367.8129918822472
61	61	288989.0	289089.0	100.0	870.6151699683516	373.2798149728768
62	62	291489.0	291689.0	200.0	595.3983352877264	404.96283088611216
63	63	298693.0	298793.0	100.0	682.186295297355	391.5526379044643
64	64	299293.0	299493.0	200.0	536.2935314860794	384.94735375538295
65	65	320289.0	320789.0	500.0	790.6599307032459	413.1095883905403
