	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y
0	58.2	59649.0	542.8791750299325	562.6918491481727	535.5237763869047	544.6683412544288	539.2014757084183	553.6800952013007
1	58.3	59749.0	536.9214994238607	564.362009284661	528.9348153574003	545.9990840472769	532.9281573906298	555.1805466659687
2	58.4	59849.0	553.1797822736537	557.9752186711045	546.7867192590448	540.7084746279326	549.9832507663491	549.3418466495185
3	58.5	59949.0	540.1373715223978	577.1889492465511	531.7882184302864	558.4109888537503	535.9627949763415	567.7999690501507
4	58.6	60049.0	580.0173750809512	572.7196104629603	573.4340450985259	555.7838687770619	576.7257100897385	564.2517396200111
5	58.8	60248.0	578.6659086947063	537.8824652282678	573.3795557805274	522.0242946244484	576.0227322376167	529.9533799263581
6	59.0	60448.0	580.2218493746101	551.4080540772201	574.8034263808977	535.2304014311494	577.5126378777536	543.3192277541846
7	59.3	60748.0	625.0797425294668	584.1836785846149	619.5701007788696	568.6322360558131	622.3249216541678	576.4079573202138
8	59.7	61149.0	586.1259968656206	602.6025025360035	578.0469435276419	584.7511595574972	582.086470196631	593.6768310467502
9	59.8	61249.0	598.0208064615855	600.5296636738354	590.3750925048553	583.1532666980764	594.1979494832201	591.8414651859559
10	59.9	61349.0	578.0044618165352	600.8981016978535	569.6029457975593	582.7319432286145	573.8037038070471	591.815022463234
11	60.1	61549.0	574.2180872242293	569.9828730036157	567.2672460350374	552.7287651714844	570.742666629633	561.3558190875498
12	60.3	61749.0	585.9592833056021	578.2231807762541	579.1218700558788	561.1880040854063	582.5405766807403	569.7055924308302
13	60.4	61849.0	577.8638680381986	582.077331531747	570.6063697104187	564.6127217649457	574.2351188743085	573.3450266483463
14	60.6	62049.0	582.6831222334628	586.8724696482896	575.5717892528994	569.5690104467576	579.127455743181	578.2207400475235
15	60.8	62249.0	565.5036711212314	577.6597202311292	558.335774375475	559.9090458750645	561.9197227483529	568.784383053097
16	61.0	62449.0	564.7953696259998	542.0819617816401	558.6903021166348	525.5223627617648	561.7428358713172	533.8021622717023
17	61.1	62549.0	565.895409203189	540.750429591861	559.6691328120727	524.1783545722241	562.7822710076306	532.4643920820423
18	61.2	62649.0	610.3217375134291	551.9530036977055	605.1207509326548	536.8591671292737	607.7212442230416	544.4060854134893
19	61.3	62749.0	609.3804871090425	551.3754637367244	604.133464206713	536.2406989693467	606.7569756578773	543.8080813530354
20	61.4	62849.0	607.8529373440988	552.1602959432981	602.756674260571	537.0521935194568	605.304805802335	544.6062447313774
21	61.5	62949.0	567.0827367846554	581.3764013747181	560.2340497658003	563.7744044254512	563.6583932752278	572.5754029000844
22	61.6	63049.0	550.4601309906811	572.0438105073091	543.151996775798	553.8433556037076	546.8060638832393	562.9435830555084
23	61.7	63149.0	541.9744029875397	566.2029056187731	534.5239422541006	547.8391206712251	538.2491726208199	557.0210131449992
