	Unnamed: 0	starttime	endtime	duration	endx	endy
0	0	60226.0	60326.0	100.0	806.5904472575914	486.0858013923165
1	1	60926.0	61226.0	300.0	905.0219761323827	516.600325294979
2	2	61426.0	61526.0	100.0	867.4394863051965	519.9607647130516
3	3	61826.0	62026.0	200.0	896.6842926117226	557.1347203744415
4	4	62226.0	62526.0	300.0	867.6010972958362	494.06640700045386
5	5	62726.0	63726.0	1000.0	878.5199102554643	518.6372455274009
6	6	63926.0	64026.0	100.0	833.6117532550178	505.3646311278185
7	7	64226.0	64926.0	700.0	873.4066364949424	515.5654982410631
8	8	65126.0	65526.0	400.0	858.7362825530535	492.04058542868194
9	9	65726.0	67425.0	1699.0	871.1293146508353	504.5272898198932
10	10	67825.0	67925.0	100.0	842.4242365674403	488.09114652781216
11	11	68225.0	68325.0	100.0	832.8177322738801	488.8024441614024
12	12	68525.0	68625.0	100.0	839.7547998378909	504.1202710725647
13	13	69225.0	69525.0	300.0	866.5897401019147	513.276907202661
14	14	69725.0	70525.0	800.0	821.3982141785153	495.08324667121536
15	15	70725.0	70825.0	100.0	832.8741656856874	496.3345742518972
16	16	87323.0	87523.0	200.0	762.3926580080359	489.5265184936442
17	17	88923.0	89323.0	400.0	768.4309558901982	506.3816067944655
18	18	89523.0	89723.0	200.0	749.1080694508272	497.4332611712071
19	19	90123.0	90223.0	100.0	782.6780454151271	534.8370544958665
20	20	92023.0	92123.0	100.0	650.6372321107816	522.1462513126493
21	21	92723.0	92923.0	200.0	1034.394201857934	552.4104806728785
22	22	93223.0	93323.0	100.0	1028.4423748555262	567.6443357987445
23	23	94122.0	94322.0	200.0	983.3508602315956	566.8563495867688
24	24	96522.0	96722.0	200.0	990.1796330040654	546.0532772289405
25	25	100222.0	100422.0	200.0	717.1934818958748	504.6674977962095
26	26	101222.0	101322.0	100.0	642.9856769303743	486.1860530591633
27	27	103022.0	103222.0	200.0	749.0595960714757	478.7307987688789
28	28	103422.0	103721.0	299.0	746.0188348217592	497.70715321811
29	29	104821.0	104921.0	100.0	724.5563161133758	543.7847790179521
30	30	105421.0	105521.0	100.0	724.5540659147654	519.2635086216004
31	31	107921.0	108021.0	100.0	646.3206479036423	468.6183314019609
32	32	108421.0	108521.0	100.0	830.218718052891	541.422206853922
33	33	110721.0	110921.0	200.0	1005.6916668851984	557.0078871094568
34	34	111421.0	111521.0	100.0	743.0582946733156	486.83352422857047
35	35	112021.0	112220.0	199.0	953.5077995247864	526.6242354042903
36	36	124728.0	124928.0	200.0	474.7414163336039	472.083620257528
37	37	126027.0	126127.0	100.0	706.060590135011	488.4946736397909
38	38	126327.0	126427.0	100.0	786.8894517342086	468.9825988509709
39	39	126827.0	127027.0	200.0	895.3975916570075	511.277089995994
40	40	128027.0	128227.0	200.0	1032.940309121616	516.2172510990462
41	41	129327.0	129527.0	200.0	575.3977069275712	511.5675946879214
42	42	130027.0	130127.0	100.0	633.2609737229138	499.1011822017441
43	43	130627.0	130727.0	100.0	769.8402365574601	498.9172200168798
44	44	131227.0	131327.0	100.0	754.7925836617416	500.68875211150464
45	45	131627.0	131927.0	300.0	806.8233855695535	497.0025333077028
46	46	132627.0	132927.0	300.0	908.7712494170028	520.7474346205099
47	47	133627.0	133727.0	100.0	1030.1094325760955	497.0007160860113
48	48	134626.0	134726.0	100.0	527.5799255903264	514.9436034293335
49	49	136926.0	137026.0	100.0	996.4891684741108	538.9383527119011
50	50	137426.0	137726.0	300.0	975.4213899746284	542.0229744513157
51	51	141426.0	141626.0	200.0	915.2423183062248	546.8277427577422
52	52	144225.0	144425.0	200.0	719.7142305279399	484.9880176780613
53	53	144825.0	145025.0	200.0	812.1419894739679	520.752398775966
54	54	147625.0	147725.0	100.0	918.5827600064862	552.5182351150601
55	55	149925.0	150025.0	100.0	694.1556840671542	546.9514042032558
56	56	152425.0	152625.0	200.0	814.5627195955851	510.7747932222839
57	57	153025.0	153424.0	399.0	918.9882039875152	541.451689016514
58	58	153824.0	153924.0	100.0	948.5373798458708	553.0878387044698
59	59	154224.0	154324.0	100.0	1000.734429162937	541.1266775110769
60	60	154724.0	154824.0	100.0	648.7183986357511	542.866559947549
61	61	155224.0	155424.0	200.0	777.0415425199185	550.5359637226584
62	62	156024.0	156224.0	200.0	799.2673405567663	550.6511393507524
63	63	158224.0	158324.0	100.0	989.0122951596863	576.9705635917974
64	64	159524.0	159624.0	100.0	640.975336389669	531.1396102464357
65	65	161524.0	161624.0	100.0	1009.3904627205272	597.7808019253993
66	66	166023.0	166223.0	200.0	910.7180617799064	601.6045122538948
67	67	168523.0	168623.0	100.0	1066.18748395103	625.9089579996545
68	68	169123.0	169323.0	200.0	639.5388130484313	523.1683548313683
69	69	172622.0	172922.0	300.0	1123.659292129869	637.8181073382735
70	70	175822.0	175922.0	100.0	986.9106076254672	636.8692660626772
71	71	176222.0	176322.0	100.0	961.4694149425392	592.1586582429927
72	72	177122.0	177222.0	100.0	966.4170325905023	636.4594862766193
73	73	178122.0	178222.0	100.0	838.3527199571166	547.4361941356441
74	74	240123.0	240223.0	100.0	743.4563771171181	462.3795701741073
75	75	242023.0	242123.0	100.0	738.7549694391557	500.878132214345
76	76	243823.0	244023.0	200.0	835.0608904905312	503.2505688359423
77	77	244223.0	244323.0	100.0	779.2900276920715	487.0236438866362
78	78	246223.0	246723.0	500.0	810.1049733646005	534.8196961551018
79	79	247823.0	247923.0	100.0	814.7385956873983	480.2807888277932
