	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y
0	68.5	69212.0	564.9187332469297	472.5421198903513	559.1948025960921	459.0087739632474	562.0567679215105	465.77544692679913
1	68.6	69312.0	624.8128749196691	455.7923255073636	621.8998551729807	445.3320112705634	623.3563650463248	450.5621683889634
2	68.7	69412.0	629.6704052264237	460.1183969865622	626.9742712740942	449.7337240969289	628.3223382502586	454.9260605417453
3	68.8	69512.0	617.4511897323971	464.2965094397912	614.1928499099732	453.2067911780583	615.822019821185	458.75165030892464
4	69.0	69712.0	632.9325397704863	435.2677146217718	630.9834654503456	425.2280842918596	631.9580026104155	430.2478994568155
5	69.1	69812.0	628.4808161773185	431.9526247707447	626.5243106485897	421.8426086825933	627.502563412954	426.8976167266688
6	69.4	70112.0	631.3852823771886	430.4277684277212	629.8834261836415	420.5547676119442	630.6343542804149	425.49126801983255
7	69.5	70212.0	627.2576237956392	432.6580037605106	625.3181679254654	422.4990163585656	626.2878958605518	427.57851005953785
8	69.6	70312.0	628.5449682301339	435.2889734229872	626.6159671945481	425.1186549461981	627.5804677123407	430.2038141845924
9	69.7	70412.0	629.4140822358515	432.88290568540657	627.7119047656756	422.8518654119406	628.5629935007635	427.8673855486734
10	69.8	70512.0	628.1053181525425	433.50606700772624	626.0049160806019	423.37622877261134	627.055117116572	428.4411478901688
11	69.9	70612.0	644.0647230661482	424.2751781660827	643.2835231386975	415.10978134734336	643.6741231024223	419.692479756713
12	70.0	70712.0	642.5475690761937	426.1506616510516	641.6428064100454	416.8967233316108	642.0951877431194	421.523692491331
13	70.1	70812.0	647.7632544013552	424.7405180760692	647.2061368146315	415.73504331188167	647.4846956079934	420.2377806939753
14	70.2	70912.0	646.9987470845326	423.892596683986	646.5056587901449	414.9000037513649	646.752202937339	419.3963002176752
15	70.3	71012.0	644.9385454565422	423.7824250963644	644.341195167645	414.69119439684647	644.6398703120932	419.2368097466055
16	70.5	71212.0	661.7056493242821	425.10227140847593	662.1911671940893	416.89629086528737	661.9484082591855	420.9992811368816
17	70.6	71312.0	663.4150315614116	424.44011043316254	663.8178906359913	416.2935159449308	663.6164610987013	420.3668131890465
