	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y
0	39.3	39991.0	577.7042218074397	394.0328966237221	578.8847189748701	383.4453267852027	578.2944703911543	388.7391117044624
1	39.6	40291.0	658.1677766908485	372.3576423127732	663.9132333352917	365.8974446887157	661.04050501307	369.1275435007446
2	39.7	40391.0	647.0087822902849	371.0683278730075	652.2864930335759	364.197109281153	649.6476376619298	367.6327185770806
3	39.8	40491.0	644.3478782459231	371.114864976679	649.3570380126176	364.0516712358162	646.8524581292701	367.5832681062478
4	40.5	41191.0	558.530032090262	418.7285250860679	560.2855509835643	407.25855175999646	559.4077915369127	412.9935384230321
5	40.6	41291.0	569.6763717849961	415.6266759625905	572.100388094769	404.706409232582	570.8883799398825	410.16654259758633
6	40.8	41491.0	580.9514854311091	410.1577107016354	583.4496724014771	399.6993206228475	582.2005789162929	404.9285156622415
7	40.9	41591.0	583.5509450316742	412.3205854790946	586.5120705720307	402.0076431610249	585.0315078018521	407.16411432006
8	41.0	41691.0	569.8204726730178	403.9532950136464	572.4939204090133	393.3674393999762	571.1571965410152	398.66036720681126
9	41.5	42191.0	599.053411632849	409.329340576657	602.078201531709	399.5399467556196	600.5658065822787	404.4346436661383
10	41.7	42391.0	597.2224647540373	415.3577168579231	599.7584028135651	405.1942126169932	598.4904337838011	410.2759647374583
11	41.9	42591.0	593.1529209549391	411.7081565840088	595.8805942874769	401.6187426889073	594.5167576212081	406.66344963645815
12	42.0	42691.0	620.9702532719444	375.70180675511966	626.5777785292328	368.5234442389186	623.7740159005881	372.1126254970193
13	44.4	45091.0	600.4122876719621	424.46724162064027	602.0004843580099	414.1737723492032	601.2063860149858	419.3205069849217
14	45.2	45891.0	649.7212231122941	395.2415751542024	655.7949659541869	388.6473887412103	652.7580945332406	391.9444819477064
15	45.3	45991.0	654.9268068875739	399.8390975927282	661.6075678904473	393.4037172152174	658.2671873890104	396.6214074039727
16	45.4	46091.0	644.5358874304925	399.5665296012008	650.9964257546021	392.8067980707742	647.7661565925471	396.1866638359876
17	45.5	46191.0	647.4166627179932	415.9784355653345	653.3405800287103	408.6272639729824	650.3786213733517	412.3028497691584
18	45.8	46491.0	652.2846333291776	398.4962531815126	658.7060486392561	391.9661768069848	655.4953409842168	395.2312149942487
19	45.9	46591.0	646.1313811264441	397.7537175916288	652.4733044801291	391.0477927957079	649.3023428032863	394.4007551936684
20	46.1	46791.0	640.2416503225908	399.1981100918046	646.6028406420379	392.3047176968046	643.4222454823143	395.75141389430473
21	46.7	47391.0	544.8142322334286	432.7792456152188	545.9131617502499	420.4523924283411	545.3636969918389	426.61581902177977
22	46.9	47591.0	570.3234766865232	442.2361353724617	571.7011897873184	430.64510595318	571.0123332369204	436.4406206628207
23	47.0	47691.0	564.4951735475319	432.7798537679782	565.8558097122993	421.260627982115	565.1754916299155	427.0202408750465
24	47.1	47791.0	570.9267421562857	433.0726461686856	572.4948434051734	421.7631861819422	571.7107927807297	427.4179161753138
25	47.2	47891.0	570.9022820003852	432.772142431365	572.4385264228694	421.4930190688491	571.6704042116269	427.132580750107
26	47.3	47991.0	581.2535223114135	431.51701315029857	583.2190018494019	420.6647465471809	582.2362620804075	426.0908798487396
27	47.4	48091.0	569.1082049604626	425.1010939142115	570.7035991990797	413.9416455692319	569.9059020797711	419.5213697417218
28	47.5	48191.0	578.0673299842712	434.87435575686834	579.8515740528038	423.78655807311554	578.9594520185373	429.3304569149919
29	47.6	48291.0	575.4037319414826	431.3572055962158	577.0775903300622	420.2567776868887	576.2406611357719	425.80699164155214
