	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y	ParticipantName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX	FixationPointY	ValidityLeft	ValidityRight	UnclassifiedIndex
11	56.1	56780.0	748.8129467588477	423.0857878594829	750.1786308145118	417.2862865102237	749.4957887866799	420.1860371848532	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
12	56.2	56880.0	744.6514793517576	421.95198341505153	746.014477331157	416.0737103321077	745.3329783414572	419.0128468735796	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
13	56.3	56980.0	750.6503331354527	419.365078834823	752.826518801251	413.9440955543712	751.7384259683517	416.6545871945972	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
14	56.4	57080.0	748.9045285056308	414.31107966395945	751.470196472866	409.0085583589994	750.1873624892476	411.6598190114794	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
15	56.5	57180.0	747.9330792920333	416.3654169461449	750.4895604094125	410.9736572479454	749.2113198507225	413.6695370970453	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
16	56.6	57280.0	749.1027656681072	418.0961834410412	751.6087182515622	412.70870774815774	750.3557419598344	415.4024455945993	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
17	56.7	57380.0	746.3621701199586	427.7465951390027	748.4625702321338	421.9358070672783	747.4123701760458	424.8412011031406	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
18	56.8	57480.0	749.8797830385404	428.8813621606748	751.9507826091063	423.1364667762346	750.9152828238234	426.0089144684545	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
19	56.9	57580.0	749.6862180206066	428.59026087737993	751.8515911069812	422.8638285332074	750.7689045637935	425.7270447052935	HS-085	2		Fixation	1300	729.9942833388309	420.487783421089	0	0	
20	57.0	57680.0	766.1853642256923	435.0362406026376	767.7552165424336	429.6393907972103	766.9702903840629	432.337815699924	HS-085		1	Saccade	300			0	0	
21	57.1	57780.0	762.4666648247959	436.7134382218189	763.5493587290816	431.0415351852521	763.0080117769385	433.8774867035354	HS-085		1	Saccade	300			0	0	
22	57.3	57980.0	707.4580736911494	430.11870954336337	707.4498174806971	422.4961476352721	707.4539455859231	426.30742858931774	HS-085		1	Saccade	300			0	0	
23	57.4	58080.0	754.7763014142322	435.0138215738809	756.7712599238372	429.3708139829898	755.7737806690344	432.19231777843527	HS-085			Unclassified	0			0	0	3
24	57.5	58180.0	758.5180083156864	437.7004327432944	759.7576652008175	431.8709145568674	759.1378367582518	434.7856736500808	HS-085		2	Saccade	400			0	0	
25	57.6	58280.0	624.9344057432025	434.1716526367778	625.2069953523421	424.4366339718069	625.0707005477723	429.3041433042923	HS-085		2	Saccade	400			0	0	
