	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y	ParticipantName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX	FixationPointY	ValidityLeft	ValidityRight	UnclassifiedIndex
0	48.0	48804.0	765.181016200023	412.3843726783559	768.7043024812147	408.3100388579065	766.9426593406187	410.3472057681313	EY-035			Unclassified	0			0	0	1
1	48.3	49104.0	793.2315360475878	417.1576959877446	797.1712068482573	414.5429993918922	795.2013714479227	415.8503476898183	EY-035		1	Saccade	200			0	0	
2	48.5	49304.0	855.6932780657538	410.2101110441048	862.0103612893643	410.0631305052344	858.8518196775585	410.1366207746696	EY-035		1	Saccade	200			0	0	
3	48.6	49404.0	829.5800279790594	412.1824084152644	834.7118036634247	411.0630486723629	832.145915821242	411.6227285438136	EY-035	1		Fixation	800	832.145915821242	411.6227285438136	0	0	
4	48.7	49504.0	849.809369482338	414.0306900724249	855.4239774889007	413.39961802561714	852.6166734856191	413.715154049021	EY-035	1		Fixation	800	832.145915821242	411.6227285438136	0	0	
5	48.9	49704.0	835.6644194530686	413.32946227313073	841.2290364856583	412.40639885203376	838.4467279693631	412.8679305625821	EY-035	1		Fixation	800	832.145915821242	411.6227285438136	0	0	
6	49.0	49804.0	834.3488270586831	414.19152496116726	839.8201278216419	413.1697044574119	837.0844774401623	413.6806147092892	EY-035	1		Fixation	800	832.145915821242	411.6227285438136	0	0	
7	49.2	50004.0	830.1801691138437	414.6997632348211	835.5048196831918	413.5113228807194	832.8424943985177	414.1055430577703	EY-035	1		Fixation	800	832.145915821242	411.6227285438136	0	0	
8	49.3	50104.0	827.0378283354189	416.6218848046698	832.5302426390689	415.3475744209533	829.7840354872437	415.9847296128114	EY-035	1		Fixation	800	832.145915821242	411.6227285438136	0	0	
9	49.4	50204.0	824.2737728349083	418.7704428494965	829.7743209546865	417.3544307402675	827.0240468947974	418.06243679488193	EY-035	1		Fixation	800	832.145915821242	411.6227285438136	0	0	
10	49.9	50704.0	707.7972483664397	430.4079515852196	706.5432235060019	423.326740427689	707.170235936221	426.86734600645417	EY-035		2	Saccade	600			0	0	
11	50.0	50804.0	631.4217997655993	448.10466639668687	626.2525774811005	437.4409002983245	628.8371886233497	442.7727833475056	EY-035		2	Saccade	600			0	0	
12	50.1	50904.0	650.6372835684331	438.98210039216696	647.5482862981844	429.5405646672475	649.0927849333084	434.2613325297072	EY-035		2	Saccade	600			0	0	
13	50.2	51004.0	703.4045385124857	438.285670714833	702.0692365356048	430.71672099800816	702.7368875240448	434.5011958564204	EY-035		2	Saccade	600			0	0	
14	50.4	51204.0	701.4436043935078	436.0138344326935	698.9931490710059	428.365699520668	700.2183767322566	432.1897669766804	EY-035		2	Saccade	600			0	0	
15	50.5	51304.0	623.6537216023304	409.84903826933385	621.6469575336517	400.2559966947182	622.6503395679906	405.052517482026	EY-035		2	Saccade	600			0	0	
16	50.6	51404.0	651.1883750755932	407.0547769376733	650.076720823637	398.55539928050666	650.6325479496147	402.8050881090901	EY-035	2		Fixation	200	650.6325479496147	402.8050881090901	0	0	
17	50.8	51604.0	664.5598711585626	395.5732199025112	664.3122345840378	387.8269465921455	664.4360528712998	391.7000832473282	EY-035	2		Fixation	200	650.6325479496147	402.8050881090901	0	0	
18	51.0	51804.0	823.7118149742548	427.00653306005535	828.1215844119403	425.060723762132	825.9166996930977	426.0336284110935	EY-035		3	Saccade	0			0	0	
19	51.1	51904.0	822.5154947184551	427.6971735080616	827.07800612036	425.7451734209597	824.7967504194074	426.72117346451046	EY-035	3		Fixation	600	824.7967504194074	426.72117346451046	0	0	
20	51.2	52004.0	825.3658345887804	426.2068860281914	830.0195410942673	424.3510506600516	827.6926878415236	425.27896834412144	EY-035	3		Fixation	600	824.7967504194074	426.72117346451046	0	0	
