	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y	ParticipantName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX	FixationPointY	ValidityLeft	ValidityRight	UnclassifiedIndex
0	73.0	74220.0	758.5540345671377	617.6448240988025	761.5026639288276	608.1870536505114	760.0283492479821	612.9159388746568	HE-150			Unclassified	0			0	0	1
1	73.1	74320.0	812.7456548278433	617.9085644860429	818.0411844528924	610.928452810392	815.393419640367	614.4185086482174	HE-150		1	Saccade	300			0	0	
2	73.4	74620.0	718.7361989344001	612.321260508423	721.9334183832111	601.831510751037	720.3348086588055	607.07638562973	HE-150		1	Saccade	300			0	0	
3	73.5	74720.0	702.7230707302868	629.5378664470649	705.5181577307609	618.2229675655003	704.1206142305235	623.8804170062825	HE-150	1		Fixation	600	704.1206142305235	623.8804170062825	0	0	
4	73.6	74820.0	698.3398251871638	625.3057692127967	700.3073066594983	613.6877013631774	699.3235659233309	619.4967352879869	HE-150	1		Fixation	600	704.1206142305235	623.8804170062825	0	0	
5	73.9	75120.0	694.2342835570267	637.6054855498168	695.3151124003227	625.3768652328367	694.7746979786746	631.4911753913267	HE-150	1		Fixation	600	704.1206142305235	623.8804170062825	0	0	
6	74.0	75220.0	718.4403700838021	647.9901295267063	720.3950740024309	636.5737843619995	719.4177220431161	642.2819569443527	HE-150	1		Fixation	600	704.1206142305235	623.8804170062825	0	0	
7	74.1	75320.0	714.3128794237061	631.5254246310577	716.038560997609	620.1914345468159	715.1757202106576	625.8584295889366	HE-150	1		Fixation	600	704.1206142305235	623.8804170062825	0	0	
8	74.2	75420.0	763.6416157722134	619.3853429686812	767.9757208281793	610.2731608623749	765.8086683001961	614.829251915528	HE-150		2	Saccade	0			0	0	
9	74.3	75520.0	755.0674678430695	605.1932646610027	759.4598649762506	596.1411392395	757.2636664096598	600.6672019502512	HE-150	2		Fixation	200	757.2636664096598	600.6672019502512	0	0	
10	74.4	75620.0	744.9878035214119	614.4046620982436	749.2210550649469	604.8335355898535	747.1044292931791	609.6190988440483	HE-150	2		Fixation	200	757.2636664096598	600.6672019502512	0	0	
11	74.5	75720.0	731.828134056454	622.6610295063487	734.6643889470927	612.1253330043542	733.246261501773	617.3931812553514	HE-150	2		Fixation	200	757.2636664096598	600.6672019502512	0	0	
12	74.6	75820.0	767.2936238533082	638.835365099022	771.3774108736653	629.4253448001895	769.3355173634866	634.1303549496057	HE-150		3	Saccade	0			0	0	
13	74.7	75920.0	768.1313487056748	634.9266858064843	772.3048368367735	625.7175258476439	770.2180927712238	630.322105827064	HE-150	3		Fixation	300	770.2180927712238	630.322105827064	0	0	
14	74.8	76020.0	794.0904479678763	631.8198030293373	800.3337490197632	624.1494376191182	797.2120984938197	627.9846203242279	HE-150	3		Fixation	300	770.2180927712238	630.322105827064	0	0	
15	74.9	76120.0	800.0247865290404	635.9780329713625	805.6600112993762	628.2210834248525	802.8423989142082	632.0995581981074	HE-150	3		Fixation	300	770.2180927712238	630.322105827064	0	0	
16	75.0	76220.0	795.1476411964868	642.7437710804347	799.6048894413855	634.4202925970571	797.3762653189358	638.5820318387457	HE-150	3		Fixation	300	770.2180927712238	630.322105827064	0	0	
17	75.1	76320.0	827.3059024087742	650.773560530431	832.5690993009918	643.4874479382645	829.9375008548831	647.1305042343477	HE-150		4	Saccade	200			0	0	
18	75.3	76520.0	648.4312400497779	703.4988678450666	645.0258651968088	687.1087251490541	646.7285526232932	695.3037964970601	HE-150		4	Saccade	200			0	0	
19	75.4	76620.0	648.8951002987484	702.0509408997318	645.7549594402112	685.7775220541782	647.3250298694796	693.9142314769546	HE-150	4		Fixation	300	647.3250298694796	693.9142314769546	0	0	
20	75.5	76720.0	629.2613423337995	701.1902392578262	626.1490273148474	684.3236613081386	627.7051848243234	692.7569502829822	HE-150	4		Fixation	300	647.3250298694796	693.9142314769546	0	0	
21	75.6	76820.0	629.1999371658966	706.4457556101324	625.4502232921677	689.3026461482046	627.3250802290318	697.8742008791683	HE-150	4		Fixation	300	647.3250298694796	693.9142314769546	0	0	
22	75.7	76920.0	623.0568456454816	703.539632239447	619.1958783255639	686.2516146396331	621.1263619855224	694.8956234395396	HE-150	4		Fixation	300	647.3250298694796	693.9142314769546	0	0	
23	75.9	77120.0	575.8889415450519	655.780849390273	575.4593686943318	638.9069381907207	575.6741551196916	647.3438937904971	HE-150		5	Saccade	1000			0	0	
24	76.0	77220.0	560.4831996507583	644.793989052455	560.8051491810002	627.8408066736537	560.6441744158789	636.3173978630543	HE-150		5	Saccade	1000			0	0	
25	76.2	77420.0	719.7931786971749	736.2098811407508	719.3202235895956	722.2786532080917	719.5567011433851	729.2442671744211	HE-150		5	Saccade	1000			0	0	
26	76.3	77520.0	707.6501216921486	718.1970591428623	707.8142071140783	704.3566094809331	707.7321644031135	711.2768343118973	HE-150		5	Saccade	1000			0	0	
27	76.7	77920.0	837.8686540254333	679.5818890053677	840.0149750515244	670.7565174076219	838.9418145384786	675.1692032064947	HE-150		5	Saccade	1000			0	0	
28	76.8	78020.0	759.3527738467117	703.2267317447892	758.3968045941323	690.9217936539701	758.8747892204215	697.0742626993793	HE-150		5	Saccade	1000			0	0	
29	76.9	78120.0	821.2763731364483	714.4333314679411	821.3155812454083	703.9277166277592	821.2959771909283	709.1805240478501	HE-150		5	Saccade	1000			0	0	
