	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y	ParticipantName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX	FixationPointY	ValidityLeft	ValidityRight	UnclassifiedIndex
0	43.5	44438.0	690.6407564161841	345.5295743844619	699.9799789510153	342.0404846727349	695.3103676835999	343.78502952859844	EL-122			Unclassified	48203			0	0	1
1	45.8	46737.0	630.9110220605381	302.4146810316503	638.2313788660599	297.4160573577847	634.5712004632993	299.91536919471764	EL-122			Unclassified	48203			0	0	1
2	47.5	48437.0	736.3146413248662	371.915404210647	744.669828489614	369.11819416833794	740.4922349072402	370.5167991894924	EL-122			Unclassified	48203			0	0	1
3	49.4	50337.0	712.2647177066744	364.4485527184468	722.3320224418513	361.5614557027298	717.2983700742628	363.00500421058825	EL-122			Unclassified	48203			0	0	1
4	89.0	89933.0	567.3413021675001	325.0752269325357	570.2976622938611	317.63209288576223	568.8194822306803	321.35365990914914	EL-122			Unclassified	48203			0	0	1
5	89.1	90033.0	659.0360862932569	324.5662266885047	660.6410569680781	318.63752224830847	659.8385716306673	321.60187446840666	EL-122			Unclassified	48203			0	0	1
6	89.2	90141.0	683.2984005870699	337.59665990234834	686.1962714099109	332.64526240139867	684.7473359984906	335.12096115187364	EL-122			Unclassified	48203			0	0	1
7	89.4	90341.0	698.0403598915063	378.9510346350212	700.6785244907638	374.3269150282955	699.3594421911351	376.6389748316583	EL-122			Unclassified	48203			0	0	1
8	89.6	90533.0	751.6993711194345	403.033624226505	755.0958716489051	399.3253972830637	753.39762138417	401.1795107547842	EL-122			Unclassified	48203			0	0	1
9	89.7	90641.0	660.7706580137449	417.7284016501981	659.747682310449	409.9735588284508	660.2591701620967	413.8509802393242	EL-122			Unclassified	48203			0	0	1
10	89.9	90841.0	551.6816970689273	382.8327663730524	549.6745737282221	372.337086419993	550.6781353985743	377.5849263965226	EL-122			Unclassified	48203			0	0	1
11	90.2	91141.0	596.8698333530646	440.6193813460608	601.6240621850404	431.96846616542354	599.2469477690523	436.2939237557418	EL-122			Unclassified	48203			0	0	1
12	90.4	91341.0	620.0965159421852	429.3465830210645	627.3411121562826	422.0691680769618	623.7188140492339	425.70787554901295	EL-122			Unclassified	48203			0	0	1
13	90.6	91533.0	739.0839178997393	448.1995962050015	738.4454419378536	442.2369804437327	738.7646799187963	445.2182883243668	EL-122			Unclassified	48203			0	0	1
14	90.7	91641.0	808.4823279383473	453.2079183722645	812.7230068995711	450.7448549959252	810.6026674189587	451.9763866840946	EL-122			Unclassified	48203			0	0	1
15	90.9	91841.0	776.6437981136119	440.662245388032	783.4816909484801	438.2478584451063	780.0627445310452	439.4550519165689	EL-122			Unclassified	48203			0	0	1
16	91.2	92141.0	738.1572803445056	407.325341106406	748.0038695646928	404.54127437246	743.080574954599	405.9333077394329	EL-122			Unclassified	48203			0	0	1
17	91.4	92341.0	688.1911406701437	427.24365921422594	691.0282913557971	420.6717662361527	689.6097160129705	423.957712725189	EL-122			Unclassified	48203			0	0	1
