	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y	ParticipantName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX	FixationPointY	ValidityLeft	ValidityRight	UnclassifiedIndex
0	61.9	62583.0	546.2125376023308	429.5957554948256	542.8397654047154	416.66169957304623	544.5261515035229	423.1287275339359	ER-059			Unclassified	0			0	0	1
1	62.0	62683.0	563.9437092674157	437.7562997674928	559.9109461358225	425.13526491230334	561.9273277016188	431.445782339898	ER-059	1		Fixation	600	561.9273277016188	431.445782339898	0	0	
2	62.1	62783.0	545.1600544012778	433.4239752602394	540.7131360783955	420.1791179852314	542.9365952398363	426.8015466227354	ER-059	1		Fixation	600	561.9273277016188	431.445782339898	0	0	
3	62.2	62883.0	562.7887806112104	436.5581210624722	558.6472868191292	423.794556107362	560.7180337151694	430.1763385849169	ER-059	1		Fixation	600	561.9273277016188	431.445782339898	0	0	
4	62.3	62983.0	568.3181266666683	431.7109191373056	564.6715668856618	419.352652186576	566.4948467761646	425.5317856619407	ER-059	1		Fixation	600	561.9273277016188	431.445782339898	0	0	
5	62.4	63083.0	556.6704173669852	434.59060352943646	552.3309138575362	421.6171415829608	554.5006656122601	428.10387255619855	ER-059	1		Fixation	600	561.9273277016188	431.445782339898	0	0	
6	62.5	63183.0	562.3501078530311	430.9038546458019	558.6247923245027	418.3836131654083	560.4874500887665	424.6437339056052	ER-059	1		Fixation	600	561.9273277016188	431.445782339898	0	0	
7	62.6	63283.0	534.176506476984	444.73461528723504	528.5185712122025	430.6401272702232	531.347538844593	437.6873712787289	ER-059	1		Fixation	600	561.9273277016188	431.445782339898	0	0	
8	62.7	63383.0	547.7392230079097	486.0956738866146	539.8010047894292	470.74934332498606	543.7701138986693	478.42250860580026	ER-059		1	Saccade	100			0	0	
9	62.8	63483.0	469.2367440440086	419.6609084589188	465.1787774815165	404.2257360015003	467.2077607627623	411.9433222302095	ER-059		1	Saccade	100			0	0	
10	62.9	63583.0	480.8745834580103	422.59762731573295	477.0149323692602	407.4630132673972	478.9447579136349	415.0303202915651	ER-059	2		Fixation	400	478.9447579136349	415.0303202915651	0	0	
11	63.0	63683.0	497.6488202739433	443.0498266441537	491.71998467327126	427.3695850281695	494.6844024736072	435.2097058361615	ER-059	2		Fixation	400	478.9447579136349	415.0303202915651	0	0	
12	63.1	63783.0	478.745863573142	444.5055783544472	471.7157936866179	428.1238526005165	475.2308286298799	436.3147154774818	ER-059	2		Fixation	400	478.9447579136349	415.0303202915651	0	0	
13	63.2	63883.0	513.5617432652629	422.4596685323488	507.4070454889792	407.9832323589053	510.4843943771209	415.2214504456269	ER-059	2		Fixation	400	478.9447579136349	415.0303202915651	0	0	
14	63.3	63983.0	515.8003863126821	422.6756273600124	509.6885725690279	408.2995757074056	512.7444794408545	415.487601533709	ER-059	2		Fixation	400	478.9447579136349	415.0303202915651	0	0	
15	63.5	64183.0	517.7601260050095	427.98863831174526	511.3189398922681	413.43467536319406	514.5395329486386	420.7116568374696	ER-059		2	Saccade	0			0	0	
