	OpenFace_TS	RecordingTimestamp	left_x	left_y	right_x	right_y	avg_x	avg_y	ParticipantName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX	FixationPointY	ValidityLeft	ValidityRight	UnclassifiedIndex
0	76.2	76898.0	866.9396913475351	379.501045076094	873.33321580751	380.1863426165263	870.1364535775225	379.8436938463103	HI-144			Unclassified	0			0	0	1
1	76.5	77198.0	959.9942013081368	389.10146431865513	972.0655308421212	394.2923483912361	966.0298660751292	391.6969063549457	HI-144		1	Saccade	0			0	0	
2	76.6	77298.0	943.2161010044044	402.8831072874172	955.5605939787508	407.1375785840612	949.3883474915768	405.01034293573935	HI-144	1		Fixation	200	949.3883474915768	405.01034293573935	0	0	
3	76.7	77398.0	947.3741755712748	398.6811009776162	958.9422472161536	403.0972713567314	953.1582113937142	400.88918616717376	HI-144	1		Fixation	200	949.3883474915768	405.01034293573935	0	0	
4	76.8	77498.0	944.4583300219122	399.45839344225016	956.1496408706032	403.7985935810603	950.3039854462572	401.62849351165534	HI-144	1		Fixation	200	949.3883474915768	405.01034293573935	0	0	
5	76.9	77598.0	979.4844636076264	401.27473015052783	992.8984725318816	407.1730502648559	986.1914680697532	404.2238902076918	HI-144		2	Saccade	0			0	0	
6	77.0	77698.0	967.9270713964092	403.2741940829941	980.6794648910952	408.59925545878775	974.303268143752	405.9367247708908	HI-144	2		Fixation	900	974.303268143752	405.9367247708908	0	0	
7	77.1	77798.0	936.26593135271	394.4631173402536	945.5168024585396	397.7661139027509	940.8913669056247	396.1146156215023	HI-144	2		Fixation	900	974.303268143752	405.9367247708908	0	0	
8	77.2	77898.0	978.6533734387598	387.0656007310156	989.905089799015	392.5321331276191	984.2792316188873	389.7988669293175	HI-144	2		Fixation	900	974.303268143752	405.9367247708908	0	0	
9	77.3	77998.0	965.7644994644533	389.8654659421321	977.0403423454316	394.87226780810585	971.402420904942	392.3688668751191	HI-144	2		Fixation	900	974.303268143752	405.9367247708908	0	0	
10	77.4	78098.0	943.1777942957486	399.1491747779004	954.5531513749584	403.2878702309943	948.8654728353532	401.2185225044473	HI-144	2		Fixation	900	974.303268143752	405.9367247708908	0	0	
11	77.5	78198.0	962.475765404372	401.72188151672185	974.4005121239549	406.5691243533333	968.4381387641638	404.14550293502754	HI-144	2		Fixation	900	974.303268143752	405.9367247708908	0	0	
12	77.6	78298.0	965.843214042211	402.4903813124898	977.8059287595196	407.4039595665548	971.8245714008648	404.9471704395222	HI-144	2		Fixation	900	974.303268143752	405.9367247708908	0	0	
13	77.7	78398.0	964.8776896073654	398.4607469246644	977.0854341848044	403.5734790721251	970.9815618960844	401.0171129983948	HI-144	2		Fixation	900	974.303268143752	405.9367247708908	0	0	
14	77.8	78498.0	967.997763643627	404.1542315756844	980.3393078239552	409.2830395840467	974.1685357337908	406.7186355798656	HI-144	2		Fixation	900	974.303268143752	405.9367247708908	0	0	
15	77.9	78598.0	972.183405310772	405.4037141581544	985.1867786146128	410.8359466454559	978.6850919626928	408.119830401805	HI-144	2		Fixation	900	974.303268143752	405.9367247708908	0	0	
16	78.0	78698.0	1016.6885988393872	414.3929609158447	1029.0425867619415	420.9408022639163	1022.865592800664	417.6668815898804	HI-144		3	Saccade	0			0	0	
17	78.1	78798.0	1026.509730581534	416.7371925524188	1038.7927628495772	423.5420762231724	1032.6512467155555	420.1396343877955	HI-144	3		Fixation	500	1032.6512467155555	420.1396343877955	0	0	
18	78.2	78898.0	1044.6297967781609	427.08303132182766	1058.9511266411223	434.5941305217715	1051.7904617096422	430.83858092179935	HI-144	3		Fixation	500	1032.6512467155555	420.1396343877955	0	0	
19	78.3	78998.0	1033.6430912524756	411.6688445244298	1045.598720669637	418.75410012231146	1039.620905961057	415.2114723233706	HI-144	3		Fixation	500	1032.6512467155555	420.1396343877955	0	0	
20	78.4	79098.0	1049.9143176831858	414.7014470276671	1062.3379312092231	422.3019334748868	1056.1261244462046	418.5016902512769	HI-144	3		Fixation	500	1032.6512467155555	420.1396343877955	0	0	
